# Pre-Tax National Income
Percentile;Year;"USA";"France";"Germany";"China";"United Kingdom";"Japan";"Brazil";"Russian Federation";"South Africa";"India";"Indonesia";"Egypt";"Nigeria"
p90p100;1980;0.3384;0.2866;0.2836;0.2789;0.285;0.352;0.5859;0.2102;0.4585;0.315;0.4044;0.4574;0.4653
p90p100;1981;0.3433;0.2841;0.2748;0.2831;0.285;0.3478;0.5859;0.2134;0.4585;0.3071;0.4044;0.4574;0.4653
p90p100;1982;0.346;0.2812;0.2736;0.2871;0.2865;0.3469;0.5859;0.2163;0.4585;0.3005;0.4044;0.4574;0.4653
p90p100;1983;0.3536;0.2818;0.2779;0.288;0.2907;0.349;0.5859;0.2189;0.4585;0.3528;0.4044;0.4574;0.4653
p90p100;1984;0.3649;0.2834;0.2829;0.2928;0.2967;0.3524;0.5859;0.2214;0.4585;0.3338;0.4044;0.4574;0.4653
p90p100;1985;0.3655;0.2869;0.2809;0.3014;0.2978;0.3587;0.5859;0.2237;0.4585;0.3479;0.4147;0.4574;0.4653
p90p100;1986;0.3634;0.295;0.2914;0.3039;0.3001;0.3665;0.5859;0.2237;0.4585;0.3507;0.424;0.4574;0.4653
p90p100;1987;0.3747;0.3;0.2947;0.3022;0.3029;0.3848;0.5859;0.2238;0.4585;0.3447;0.4326;0.4574;0.4653
p90p100;1988;0.3924;0.304;0.3133;0.3056;0.3089;0.391;0.5859;0.2238;0.4585;0.3538;0.4355;0.4574;0.4653
p90p100;1989;0.3878;0.3112;0.3168;0.3111;0.3046;0.3996;0.5859;0.2372;0.4585;0.3541;0.438;0.4574;0.4653
p90p100;1990;0.3876;0.3118;0.3228;0.3085;0.3233;0.4052;0.5859;0.2358;0.4585;0.3349;0.4402;0.4574;0.4653
p90p100;1991;0.3832;0.3088;0.3071;0.3151;0.3249;0.3936;0.5859;0.2463;0.4794;0.341;0.446;0.4562;0.4653
p90p100;1992;0.3941;0.3051;0.3076;0.3271;0.3222;0.3531;0.5859;0.3245;0.4753;0.3506;0.4509;0.455;0.4653
p90p100;1993;0.391;0.3046;0.3016;0.3391;0.3276;0.3582;0.5859;0.3421;0.4498;0.3671;0.4551;0.4539;0.4646
p90p100;1994;0.3913;0.3098;0.2923;0.3433;0.3356;0.3618;0.5859;0.4034;0.4608;0.3824;0.4633;0.4528;0.4638
p90p100;1995;0.399;0.3112;0.2948;0.339;0.3377;0.3717;0.5859;0.423;0.4718;0.383;0.47;0.4517;0.4631
p90p100;1996;0.408;0.3203;0.3031;0.339;0.3488;0.381;0.5859;0.4832;0.4828;0.3794;0.4753;0.4659;0.4624
p90p100;1997;0.4155;0.3243;0.306;0.3391;0.3476;0.3786;0.5859;0.4533;0.4938;0.3874;0.4324;0.4793;0.4617
p90p100;1998;0.4192;0.331;0.3144;0.3425;0.3571;0.3824;0.5859;0.4344;0.5048;0.3924;0.3855;0.4921;0.461
p90p100;1999;0.4228;0.3304;0.3175;0.3479;0.3596;0.3894;0.5859;0.4652;0.5158;0.3949;0.3782;0.5042;0.4603
p90p100;2000;0.4273;0.3335;0.3152;0.3587;0.357;0.4006;0.5859;0.4917;0.5269;0.3987;0.3791;0.5018;0.4596
p90p100;2001;0.4194;0.3352;0.3159;0.3662;0.3557;0.4132;0.5859;0.4986;0.5379;0.4095;0.3895;0.4995;0.4589
p90p100;2002;0.4149;0.3338;0.3169;0.3968;0.3582;0.4232;0.5957;0.4805;0.5489;0.4206;0.3885;0.4972;0.4582
p90p100;2003;0.4164;0.3357;0.3094;0.4051;0.3695;0.4306;0.5900000000000001;0.4807;0.5606;0.4318;0.3873;0.4949;0.4575
p90p100;2004;0.4242;0.3416;0.3213;0.4121;0.3637;0.4404;0.5798;0.478;0.562;0.4432;0.4036;0.4926;0.4518
p90p100;2005;0.4359;0.3411;0.3409;0.4216;0.3753;0.4424;0.6024;0.4716;0.5787;0.4548;0.4158;0.4923;0.446
p90p100;2006;0.4429;0.3388;0.3466;0.4237;0.3795;0.4446;0.6023000000000001;0.4904;0.5902000000000001;0.4676;0.409;0.492;0.4402
p90p100;2007;0.4404;0.3478;0.362;0.4269;0.3793;0.4463;0.5864;0.4867;0.6115;0.4807;0.4155;0.4916;0.4344
p90p100;2008;0.4356;0.351;0.3584;0.4269;0.3642;0.4378;0.5909;0.516;0.5917;0.4941;0.4581;0.4914;0.4287
p90p100;2009;0.4245;0.3323;0.3641;0.4263;0.3812;0.4263;0.5871000000000001;0.4923;0.5836;0.5078;0.4716;0.4821;0.4229
p90p100;2010;0.4381;0.3374;0.3588;0.4283;0.3423;0.4326;0.5948;0.4521;0.6067;0.5217;0.4212;0.473;0.4171
p90p100;2011;0.4426;0.3385;0.3602;0.4311;0.3553;0.4313;0.6026;0.4774;0.6178;0.5414;0.4396;0.4767;0.4165
p90p100;2012;0.4559;0.3288;0.3558;0.4169;0.3647;0.4319;0.5939;0.4518;0.6508;0.55;0.4337;0.4804;0.4158
p90p100;2013;0.449;0.323;0.371;0.4235;0.3865;0.4334;0.5840000000000001;0.47;0.6508;0.5523;0.4261;0.4865;0.4168
p90p100;2014;0.4558;0.3246;0.375;0.4155;0.3668;0.4332;0.5870000000000001;0.4502;0.6508;0.561;0.4252;0.4925;0.4177
p90p100;2015;0.455;0.3331;0.3745;0.4166;0.3557;0.4339;0.599;0.4486;0.6508;0.5674;0.441;0.4984;0.4187
