# Gini coefficients of net personal wealth Equal Split
Percentile ;Year ;"USA";"France";"Germany";"China";"United Kingdom";"Japan";"Brazil";"Russian Federation";"South Africa";"India";"Indonesia";"Egypt";"Nigeria";
pall;1995;0.8198000000000001;0.6873;0.7348;0.5366000000000001;0.6908000000000001;0.7451;0.8181;0.6662;0.996;0.7029000000000001;0.7351000000000001;0.756;0.7558;
pall;1996;0.8217;0.7069000000000001;0.7356;0.5518000000000001;0.7108;0.746;0.8181;0.6784;0.9971000000000001;0.7027;0.737;0.7594000000000001;0.7557;
pall;1997;0.8280000000000001;0.7159;0.7342000000000001;0.5637;0.7309;0.7456;0.8181;0.7154;0.9813000000000001;0.7034;0.731;0.7654000000000001;0.7554000000000001;
pall;1998;0.8305;0.7241000000000001;0.7329;0.5729000000000001;0.7297;0.746;0.8180000000000001;0.7345;0.9652000000000001;0.7037;0.7281000000000001;0.7699;0.7553000000000001;
pall;1999;0.8293;0.7289;0.7385;0.5803;0.7139;0.7465;0.8181;0.7571;0.9438000000000001;0.7040000000000001;0.7259;0.7746000000000001;0.7552;
pall;2000;0.8301000000000001;0.7309;0.739;0.5863;0.7191000000000001;0.7476;0.8182;0.7496;0.9323;0.7044;0.7254;0.7739;0.7552;
pall;2001;0.8285;0.7246;0.7396;0.5913;0.7148;0.748;0.8182;0.7651;0.9184;0.7057;0.7269;0.7727;0.7551;
pall;2002;0.8281000000000001;0.7146;0.7421;0.5956;0.7174;0.749;0.8218000000000001;0.7483000000000001;0.9105000000000001;0.7077;0.7282000000000001;0.7716000000000001;0.7547;
pall;2003;0.8311000000000001;0.7103;0.745;0.5957;0.7092;0.75;0.8197;0.7657;0.9063;0.7063;0.7297;0.7704000000000001;0.7546;
pall;2004;0.8336;0.7068;0.7509;0.608;0.7028;0.7512000000000001;0.8159000000000001;0.7698;0.8983000000000001;0.7128;0.7315;0.7695000000000001;0.7538;
pall;2005;0.8329000000000001;0.7021000000000001;0.7557;0.6204000000000001;0.7042;0.7515000000000001;0.8241;0.7608;0.907;0.7149;0.7334;0.7691;0.7525000000000001;
pall;2006;0.8361000000000001;0.7055;0.7597;0.6334000000000001;0.7065;0.7517;0.8241;0.7488;0.933;0.7251000000000001;0.7346;0.769;0.7516;
pall;2007;0.8472000000000001;0.7108;0.7652;0.6479;0.7018;0.752;0.8183;0.7507;0.9915;0.7413000000000001;0.7359;0.7718;0.751;
pall;2008;0.8646;0.7081000000000001;0.7692;0.656;0.6960000000000001;0.7509;0.8199000000000001;0.7722;1.0618;0.7405;0.739;0.7761;0.7503000000000001;
pall;2009;0.8752000000000001;0.7126;0.7618;0.6661;0.7153;0.7495;0.8186;0.7519;1.0504;0.7304;0.7403000000000001;0.766;0.7496;
pall;2010;0.8811;0.7273000000000001;0.7567;0.7312000000000001;0.7139;0.7503000000000001;0.8212;0.7838;1.0412;0.7421;0.7428;0.763;0.7487;
pall;2011;0.8831;0.7211000000000001;0.7526;0.7496;0.7267;0.7502000000000001;0.8242;0.7945;1.0324;0.7479;0.7462000000000001;0.7658;0.7498;
pall;2012;0.8848;0.7162000000000001;0.7476;0.7477;0.7233;0.7503000000000001;0.8208000000000001;0.7897000000000001;1.0137;0.7384000000000001;0.7487;0.7659;0.7494000000000001;
pall;2013;0.8777;0.7223;0.7455;0.7478;0.7313000000000001;0.7505000000000001;0.8176;0.7874;0.9892000000000001;0.7395;0.7522000000000001;0.7686000000000001;0.7501;
pall;2014;0.8714000000000001;0.7275;0.7469;0.7492000000000001;0.7389;0.7504000000000001;0.8185;0.7915000000000001;0.9695;0.7369;0.7535000000000001;0.7709;0.7518;
pall;2015;0.8666;0.7285;0.7465;0.7545000000000001;0.7257;0.7505000000000001;0.8230000000000001;0.8097000000000001;0.9682000000000001;0.7476;0.7549;0.7731;0.7505000000000001;
pall;2016;0.8627;0.7271000000000001;0.7463000000000001;0.7546;0.7297;0.7505000000000001;0.8195;0.8108000000000001;0.9662000000000001;0.7451;0.7523000000000001;0.7699;0.7527;
pall;2017;0.8530000000000001;0.7277;0.7454000000000001;0.7563000000000001;0.7332000000000001;0.7504000000000001;0.8177000000000001;0.8117000000000001;0.9569000000000001;0.749;0.7513000000000001;0.7721;0.7516;
pall;2018;0.8510000000000001;0.7297;0.747;0.7558;0.728;0.7504000000000001;0.8166;0.8155;0.9570000000000001;0.7411;0.7589;0.7721;0.752;
pall;2019;0.8477;0.7293000000000001;0.7453000000000001;0.7553000000000001;0.7273000000000001;0.7504000000000001;0.8131;0.8156;0.9569000000000001;0.7376;0.7587;0.7707;0.7517;
pall;2020;0.8426;0.7281000000000001;0.7437;0.7567;0.727;0.7504000000000001;0.8223;0.8348;0.9569000000000001;0.7323000000000001;0.7567;0.7666000000000001;0.7511;
pall;2021;0.8371000000000001;0.7324;0.7453000000000001;0.7579;0.7277;0.7504000000000001;0.8237;0.8384;0.9568000000000001;0.748;0.7592;0.7664000000000001;0.7528;
pall;2022;0.8295;0.7321000000000001;0.7447;0.7574000000000001;0.7274;0.7504000000000001;0.8213;0.8349000000000001;0.9569000000000001;0.7524000000000001;0.76;0.7665000000000001;0.7531;
pall;2023;0.8293;0.7331000000000001;0.7441;0.7573000000000001;0.7278;0.7504000000000001;0.8202;0.8357;0.9569000000000001;0.7525000000000001;0.7611;0.7691;0.7573000000000001;
