# Gini coefficients for pre-tax national income (P0-100) for adults (equal split)
Percentile;Year;"USA";"France";"Germany";"China";"United Kingdom";"Japan";"Brazil";"Russian Federation";"South Africa";"India";"Indonesia";"Egypt";"Nigeria"
p0p100;1980;0.454;0.4034;0.4004;0.3822;0.3926;0.4478;0.6857000000000001;0.2782;0.5441;0.4064;0.5041;0.5098;0.5961000000000001
p0p100;1981;0.4605;0.4;0.3763;0.387;0.3926;0.4422;0.6857000000000001;0.2793;0.5441;0.4009;0.5041;0.5098;0.5961000000000001
p0p100;1982;0.4677;0.3972;0.3726;0.3942;0.3954;0.4403;0.6857000000000001;0.2803;0.5441;0.3965;0.5041;0.5098;0.5961000000000001
p0p100;1983;0.4803;0.3977;0.3768;0.3919;0.401;0.4438;0.6857000000000001;0.2812;0.5441;0.4405;0.5041;0.5098;0.5961000000000001
p0p100;1984;0.4889;0.3999;0.3949;0.3969;0.4034;0.4477;0.6857000000000001;0.2821;0.5441;0.425;0.5041;0.5098;0.5961000000000001
p0p100;1985;0.4908;0.3994;0.379;0.4045;0.4103;0.4561;0.6857000000000001;0.2829;0.5441;0.4369;0.5156000000000001;0.5098;0.5961000000000001
p0p100;1986;0.4923;0.4039;0.4017;0.4193;0.4037;0.4632;0.6857000000000001;0.2823;0.5441;0.4393;0.5261;0.5098;0.5961000000000001
p0p100;1987;0.5003000000000001;0.4056;0.3897;0.4232;0.4169;0.4786;0.6857000000000001;0.2818;0.5441;0.4344;0.5357000000000001;0.5098;0.5961000000000001
p0p100;1988;0.5145000000000001;0.4062;0.4223;0.4267;0.4239;0.4849;0.6857000000000001;0.2812;0.5441;0.4418;0.5391;0.5098;0.5961000000000001
p0p100;1989;0.5111;0.415;0.4103;0.4358;0.4186;0.4907;0.6857000000000001;0.2961;0.5441;0.4417;0.5421;0.5098;0.5961000000000001
p0p100;1990;0.5126000000000001;0.4182;0.4332;0.4323;0.459;0.4929;0.6857000000000001;0.309;0.5441;0.4262;0.5447000000000001;0.5098;0.5961000000000001
p0p100;1991;0.5114000000000001;0.4201;0.4042;0.4478;0.4618;0.4814000000000001;0.6857000000000001;0.3191;0.5655;0.4304;0.5498000000000001;0.507;0.5961000000000001
p0p100;1992;0.5236000000000001;0.4179;0.4174;0.4626;0.4567;0.4467;0.6857000000000001;0.4354;0.5615;0.4375;0.5541;0.5042;0.5961000000000001
p0p100;1993;0.5211;0.4205;0.4118;0.4776;0.4438;0.4523;0.6857000000000001;0.4594;0.5358;0.4514;0.5577;0.5014000000000001;0.5935
p0p100;1994;0.5201;0.4252;0.3881;0.4835;0.445;0.456;0.6857000000000001;0.5381;0.5483;0.463;0.5666;0.4987;0.5910000000000001
p0p100;1995;0.5284;0.4255;0.4049;0.4774;0.4517;0.467;0.6857000000000001;0.5619000000000001;0.5607;0.463;0.5735;0.4961;0.5884
p0p100;1996;0.5356000000000001;0.4337;0.4147;0.4713;0.4595;0.478;0.6857000000000001;0.6343;0.5732;0.4596;0.5788;0.5129;0.5858
p0p100;1997;0.5418000000000001;0.439;0.4056;0.471;0.4548;0.4766;0.6857000000000001;0.5923;0.5856;0.4658;0.5306000000000001;0.5289;0.5832
p0p100;1998;0.5433;0.4442;0.4177;0.472;0.4624;0.4793;0.6857000000000001;0.5636;0.5981000000000001;0.4697;0.478;0.544;0.5807
p0p100;1999;0.5467000000000001;0.4426;0.4289;0.4813;0.468;0.4854;0.6857000000000001;0.5816;0.6106;0.4715;0.4699;0.5584;0.5781000000000001
p0p100;2000;0.5501;0.444;0.4176;0.498;0.4803;0.497;0.6857000000000001;0.6014;0.623;0.4744;0.472;0.5573;0.5755
p0p100;2001;0.5438000000000001;0.443;0.4174;0.5072;0.462;0.5079;0.6857000000000001;0.6079;0.6281;0.4841;0.4831;0.5563;0.5729000000000001
p0p100;2002;0.5402;0.4461;0.4227;0.5346000000000001;0.4596;0.5176000000000001;0.6917;0.5931000000000001;0.6333000000000001;0.4939;0.4846;0.5552;0.5704
p0p100;2003;0.544;0.4504;0.4131;0.5428000000000001;0.4739;0.5245000000000001;0.6861;0.5963;0.6387;0.5038;0.4859;0.5542;0.5678000000000001
p0p100;2004;0.551;0.4566;0.4257;0.546;0.4667;0.5335;0.6786;0.5892000000000001;0.6335000000000001;0.514;0.5025000000000001;0.5532;0.5619000000000001
p0p100;2005;0.5616;0.4557;0.4513;0.5577;0.4782;0.5344;0.6936;0.5826;0.6445000000000001;0.5242;0.5141;0.5533;0.556
p0p100;2006;0.5678000000000001;0.4524;0.4541;0.559;0.4826;0.5351;0.6923;0.597;0.6616000000000001;0.5346000000000001;0.5037;0.5534;0.55
p0p100;2007;0.5645;0.461;0.4644;0.562;0.4768;0.5367000000000001;0.6789000000000001;0.5982000000000001;0.6883;0.5453;0.514;0.5535;0.5441
p0p100;2008;0.5624;0.4645;0.4631;0.5622;0.4724;0.5277000000000001;0.6795;0.6121;0.6738000000000001;0.5562;0.5649000000000001;0.5536;0.5382
p0p100;2009;0.557;0.4508;0.4682;0.5627;0.4936;0.5073;0.6765;0.5863;0.6657000000000001;0.5673;0.5769000000000001;0.5419;0.5323
p0p100;2010;0.5675;0.4542;0.464;0.5665;0.4505;0.5078;0.681;0.5491;0.6903;0.5786;0.5277000000000001;0.5303;0.5263
p0p100;2011;0.5731;0.4525;0.4672;0.5646;0.4728;0.5054000000000001;0.6855;0.5649000000000001;0.7023;0.5928;0.5429;0.5393;0.5256000000000001
