# Average Market Value of National Wealth
Percentile;Year;"USA";"France";"Germany";"China";"United Kingdom";"Japan";"Brazil";"Russian Federation";"South Africa";"India";"Indonesia";"Egypt";"Nigeria"
pall;1980;186926.1;175193.6597;163525.4005;11252.0548;139036.2023;167668.5163;60640.9993;98890.5913;81979.2566;15804.2693;28691.257;11136.1511;44658.9923
pall;1981;188920.5;176620.0249;171946.4642;11792.1933;141556.7598;179457.2535;55861.5568;99558.9237;88399.4218;15886.3931;28924.9709;12254.3057;41417.4994
pall;1982;188144.4;173991.1989;177457.9109;13503.6272;141055.823;188006.6043;55929.1992;100482.7161;88174.3447;16095.6816;30693.4415;13572.7258;40283.5155
pall;1983;189333.2;173927.8016;183240.9593;14666.6108;149319.4479;194150.5734;55827.6945;101896.0531;81226.4172;16600.7575;31181.2342;16376.6732;38011.1957
pall;1984;191433.6;173836.5094;190774.002;14581.262;157921.457;198719.2639;45376.4161;101920.8076;81458.7469;16723.6688;32524.4803;18183.3437;38342.4337
pall;1985;198430.3;173121.686;197684.2894;14447.6379;165625.0767;206269.1751;55128.3944;103099.021;77820.7554;16872.4316;32731.0299;19689.3131;38552.291
pall;1986;210137.3;175023.4565;198569.9169;15161.2813;182982.6421;225826.9515;59280.129;104504.0127;77126.6645;17041.4473;34693.855;20908.0911;37310.0971
pall;1987;216881.3;179713.2177;200223.4635;15415.8413;192237.3037;268507.4753;46513.4988;102712.8818;79166.7677;17534.2481;33868.5293;25625.3252;34734.3164
pall;1988;221770.9;184572.7346;203331.0442;15474.2726;209417.3586;306863.3701;57312.9873;105233.7841;77684.9206;19024.6632;35733.2398;27773.7688;36447.5627
pall;1989;229482.7;194948.5645;208679.1638;16206.1637;228294.2185;338079.5958;71095.3636;105997.7285;76829.7621;19791.833;37029.9919;32300.9897;35386.6739
pall;1990;228174.9;199343.4163;210328.9088;16277.4207;222736.2931;359806.02;63265.1029;107512.7243;73967.92;20962.775;39336.031;32006.7616;36319.5619
pall;1991;224868.4;197744.312;223588.9618;16392.3842;212020.0318;350475.6983;61987.9626;29826.7286;71382.9395;18965.2834;41547.818;25010.3297;35055.6258
pall;1992;225651.8;196069.5784;231935.6835;17656.955;207093.238;329652.8269;52683.7652;32855.6281;69713.9814;17438.8781;42054.6483;23722.9173;35133.9898
pall;1993;225833.7;192527.8309;235145.6253;20006.234;214739.4682;317018.0451;62442.9027;37413.9805;73648.1198;17725.0172;46176.8897;22228.5992;33877.7355
pall;1994;228217.9;190411.4044;237625.8044;20840.428;214051.8631;312460.184;73818.6678;39684.4612;74591.8477;18240.7609;49022.3689;24946.9781;34252.1471
pall;1995;236312.8;192556.7699;235154.214;23024.6517;183861.4946;320550.6793;77420.2116;72571.4919;72175.7093;18716.1833;51488.9648;28500.7885;37114.0259
pall;1996;252169.8;200751.4336;220517.8481;23917.1945;184343.0471;319390.0308;76862.4091;82026.6383;72936.7354;19919.8912;54720.2263;34736.0819;38341.0766
pall;1997;274281.9;204726.0729;229337.7961;27363.0165;198993.8446;315874.7107;76676.1458;86501.9176;69980.8845;20207.7055;55308.5595;37578.2407;38229.6425
pall;1998;301992.8;211175.1472;236592.901;30100.342;220181.3936;312194.788;74028.6718;82865.0173;67908.1309;20631.9978;38597.3948;41758.3221;38099.7929
pall;1999;332837.9;230438.5363;249193.8726;34770.7991;242155.9109;314302.5231;71874.773;83025.2838;70156.5809;21577.3071;38048.1788;45630.1437;33609.2387
pall;2000;343249.7;248293.7589;263646.4954;39187.3567;260058.0657;314894.9629;73596.0734;85791.3447;73103.27;21962.6473;37745.6548;49027.2663;33484.5072
pall;2001;339266.4;254159.5777;262684.8364;40488.8083;267692.8485;306021.4217;73029.9596;103285.3359;72664.3242;22159.5976;41037.5233;50789.7535;33977.1479
pall;2002;331275.5;258742.6822;256285.2279;43547.905;272430.2267;297901.8967;67959.0872;125375.498;70950.4222;22178.4521;43545.2771;49217.6762;36010.4701
pall;2003;339449.1;275507.9184;249000.1328;46847.9103;285737.256;296032.5165;68440.4835;139168.1169;70063.3825;22703.5527;46261.3659;47733.7985;35979.0166
pall;2004;369325.0;304682.3232;248834.2712;51388.5139;301421.9796;294414.5472;71871.9752;147948.2751;72671.8927;24135.0153;45746.7274;48219.7938;37296.4529
pall;2005;395739.8;340510.0162;253186.9399;56569.5773;316906.1453;296890.2876;71274.5089;159160.0178;77856.1254;25762.3309;50974.1704;49801.9146;40079.4911
pall;2006;412905.2;376011.1757;259468.4178;62400.5959;332096.8006;306473.598;72020.1794;204045.5074;83051.2507;27634.6339;54404.1666;56268.9196;42458.4768
pall;2007;426840.5;396332.9272;266404.3308;73219.7968;340378.436;309479.9792;74690.2008;248024.6146;85539.5439;29887.6788;56636.1825;61402.9508;43011.7053
pall;2008;377729.8;382303.1737;272476.8626;74429.129;312460.1408;301245.3513;76374.3885;245396.9504;84178.1061;32406.2941;61687.0575;68080.6825;43815.9772
pall;2009;325494.8;366094.7898;271490.2821;77839.5015;289619.8974;297437.5508;78018.9946;239276.4527;79849.2929;34779.2495;66316.8892;72145.2735;44184.8124
pall;2010;323853.0;374281.3983;276326.5962;90170.3195;291551.1444;295040.9018;83273.2502;229895.5393;79827.0819;36586.8265;68156.1708;71599.4554;44834.7691
pall;2011;319223.6;384775.0727;282369.8418;94669.9139;295369.528;304502.2139;92625.3815;193330.4218;79820.9694;39225.4203;71953.0544;74744.8627;43583.7927
pall;2012;317276.7;383870.6539;288450.2583;101229.9887;296311.8752;311543.3592;97970.5675;196021.9034;80398.0163;42492.4189;76525.8961;78856.1218;44498.986
pall;2013;344651.0;379627.0607;302217.0479;110744.1049;297629.0855;317669.3874;102562.1008;204393.3067;82443.9847;45059.1732;79281.9547;77579.8178;45674.3219
pall;2014;366509.9;374049.4387;318376.4395;124059.4199;312627.2724;320454.5332;105495.8616;205385.3117;82841.915;47881.6363;81687.5388;82448.4569;46641.1787
pall;2015;380390.5;368918.4321;335688.6956;139186.9855;330583.9166;310047.3666;103477.3298;200252.633;84535.9823;51496.164;85920.0402;90665.8593;46075.1685
pall;2016;392944.9;376332.3391;360756.3163;156181.3799;340395.2255;311743.4547;97012.3831;188949.6242;83162.8277;54503.7587;86236.6009;90002.9429;43885.2209
pall;2017;422230.7;389442.3092;390422.582;168126.9587;349954.8449;316011.1914;95224.1398;184622.902;83447.8348;56946.3393;86577.4256;83153.7608;43588.0935
pall;2018;431939.7;396812.2109;416781.7545;176532.9723;346638.0086;312501.5563;93627.015;185132.4139;81209.0687;59202.0111;88008.0414;88412.5325;42448.1018
pall;2019;451303.5;408412.4297;441763.6285;191393.3999;341576.7463;304637.1383;91340.4237;193633.4689;77182.4736;60715.3935;92548.6815;91289.5619;42162.0943
pall;2020;502370.6;420725.5328;464984.8076;207100.4618;335512.3895;307408.4286;90304.1461;203751.7837;77030.664;58935.4792;94546.2169;112424.6457;45020.8183
pall;2021;549226.8;442965.3144;485077.0044;220134.6296;350557.4343;325394.9252;92279.1465;200312.7401;76253.6493;55047.4371;89835.0583;115738.0372;44790.6153
pall;2022;537067.3;452305.1575;496112.8513;213622.9953;340719.8728;348406.266;91620.4976;204122.7391;73184.106;58085.2728;90958.0664;120060.6494;41683.9755
