# Net personal wealth | share | adults | equal split
Percentile;Year;"USA";"France";"Germany";"China";"United Kingdom";"Japan";"Brazil";"Russian Federation";"South Africa";"India";"Indonesia";"Egypt";"Nigeria"
p90p100;1995;0.6712;0.5376000000000001;0.5753;0.4091;0.5256000000000001;0.5834;0.6941;0.5255000000000001;0.862;0.5632;0.5989;0.6032000000000001;0.6027
p90p100;1996;0.6732;0.5686;0.5766;0.43;0.5405;0.5851000000000001;0.6941;0.5441;0.8648;0.5628000000000001;0.602;0.6088;0.6026
p90p100;1997;0.68;0.5822;0.5744;0.4464;0.5653;0.5844;0.6941;0.5957;0.8540000000000001;0.5639000000000001;0.5911000000000001;0.6185;0.6022000000000001
p90p100;1998;0.6864;0.5951000000000001;0.5724;0.4591;0.5668000000000001;0.5851000000000001;0.6940000000000001;0.624;0.8452000000000001;0.5646;0.5852;0.6255000000000001;0.602
p90p100;1999;0.6862;0.6032000000000001;0.5774;0.4692;0.5488000000000001;0.5860000000000001;0.6941;0.6574;0.8408;0.5651;0.5818;0.6328;0.6018
p90p100;2000;0.6865;0.6047;0.5740000000000001;0.4775;0.5579000000000001;0.5880000000000001;0.6942;0.6465000000000001;0.8365;0.5657;0.5811000000000001;0.6317;0.6017
p90p100;2001;0.6819000000000001;0.596;0.5708;0.4844;0.5511;0.5888;0.6942;0.6674;0.8304;0.5680000000000001;0.5809000000000001;0.6299;0.6016
p90p100;2002;0.6815;0.5809000000000001;0.5705;0.4901;0.5545;0.5908;0.6989000000000001;0.643;0.8263;0.5715;0.5804;0.6282;0.6009
p90p100;2003;0.6817000000000001;0.5729000000000001;0.5709000000000001;0.4903;0.5449;0.5925;0.6962;0.6671;0.8247;0.5694;0.5802;0.6264000000000001;0.6008
p90p100;2004;0.6866;0.5665;0.5794;0.5061;0.5403;0.5948;0.6912;0.6702;0.8172;0.5789000000000001;0.5804;0.625;0.5994
p90p100;2005;0.6863;0.5583;0.5865;0.5229;0.5416000000000001;0.5952000000000001;0.7021000000000001;0.6571;0.8313;0.5820000000000001;0.5808;0.6243000000000001;0.5971000000000001
