#GDP
Percentile;Year;"Argentina";"Australia";"Austria";"Bangladesh";"Belgium";"Brazil";"Canada";"Chile";"China";"Colombia";"Czech Republic";"Denmark";"Egypt";"Ethiopia";"Finland";"France";"Germany";"Ghana";"Greece";"Hungary";"India";"Indonesia";"Iran";"Ireland";"Israel";"Italy";"Japan";"Kenya";"Malaysia";"Mexico";"Netherlands";"New Zealand";"Nigeria";"Norway";"Pakistan";"Peru";"Philippines";"Poland";"Portugal";"Qatar";"Russian Federation";"Saudi Arabia";"Singapore";"South Africa";"Spain";"Sweden";"Switzerland";"Turkey";"United Kingdom";"USA";"Korea"
pall;1995;3246941.8;62975.0;38741.0;62340.2;34839.1;36241.6;52716.60000000001;7501532.5;15351.2;18397314;384202.3;334504.6;46558.7;23144.4;32239.7;31455.0;35981.9;11384.6;16448.6;3687078.0;56067.0;33769404;894805184;29439.7;120575.2;30570.6;3860281.8;179372.8;27286.9;183552.8;38950.1;49789.0;593920.3;668954.4;213075.4;14121.3;95591.5;30461.6;17800.8;194218.2;565393.0;133646.9;49909.0;94244.70000000001;21507.1;372245.5;67159.0;116327.2;27625.4;52355.9;16997428
pall;1996;3383565.3;64626.2;39598.5;64275.4;35231.1;36464.6;53013.2;7944641.0;15744.5;18436666;400830.3;341890.6;48012.10000000001;24195.4;33321.1;31788.4;36167.0;11632.9;16884.0;3695834.0;59099.7;35815292;948176000;31370.6;124291.3;30949.2;3972118.0;181735.5;29268.4;192147.7;40131.3;50840.2;602871.8;699039.3;212799.3;14246.1;98889.0;32329.1;18358.8;197082.7;545613.8;131798.6;51501.60000000001;96249.70000000001;21989.2;377825.7;67175.8;122614.4;28270.9;53701.2;18164786
pall;1997;3613854.8;66677.3;40382.4;66459.40000000001;36479.6;37139.3;54735.5;8356909.5;16691.0;18730864;398537.3;351427.1;49239.4;23285.3;35328.1;32419.5;36761.3;11836.3;17602.6;3819403.0;60744.8;36893524;965287360;34507.8;125602.4;31498.9;4001623.5;177314.3;30640.0;203166.0;41671.7;51743.8;604632.7000000001;731994.6000000001;210589.4;14890.9;101599.1;34423.8;19085.5;246232.9;554131.6;128211.0;53942.8;96702.8;22705.6;389289.3;68527.5;129954.1;29587.0;55422.9;19105634
pall;1998;3709134.5;69212.6;41783.2;68498.1;37116.1;36603.8;56398.10000000001;8515513.0;16615.5;18503172;396621.7;357883.2;50610.2;22651.7;37167.2;33466.1;37496.0;12094.1;18257.7;3976463.8;62980.3;31548126;970490752;37140.6;127464.0;32060.1;3940937.3;178276.3;27696.4;212926.6;43372.7;52065.10000000001;604241.1;747065.2000000001;211241.2;14565.2;98566.6;36041.8;19906.7;259686.3;525317.9;127082.7;50998.5;95163.3;23608.9;405768.1;70394.1;132119.3;30512.9;57236.4;17995296
pall;1999;3542473.8;71526.6;43185.7;70832.3;38342.8;36166.1;58829.7;8345074.0;17475.9;17419804;402984.3;367135.9;52342.7;23209.6;38707.5;34483.6;38179.0;12325.1;18779.8;4109375.3;66842.2;31323258;985562880;40593.5;128245.2;32575.8;3921739.3;176853.1;28703.4;216114.1;45249.60000000001;53899.9;591959.7000000001;757335.6000000001;213671.3;14529.8;99294.40000000001;37757.7;20572.3;256680.7;559676.8;117953.6;53485.7;95433.90000000001;24567.5;422662.8;71225.6;126111.2;31336.5;59299.10000000001;19916750
pall;2000;3474924.5;72801.3;44537.4;73439.40000000001;39670.7;37208.2;61302.10000000001;8616019.0;18458.9;17638064;420185.9;379716.8;53507.2;24076.2;40864.60000000001;35612.5;39237.8;12524.8;18837.8;4306461.5;68871.90000000001;32396956;1008957888;43830.9;135543.7;33794.0;4021930.3;172458.1;30522.1;224306.4;46839.8;55191.10000000001;605246.7000000001;777405.6000000001;214173.7;14690.3;101209.0;39510.4;21215.4;263320.1;618622.4;119154.8;57318.4;97452.40000000001;25732.1;441743.3;73634.2;133135.7;32577.7;61045.8;21540482
pall;2001;3285456.3;74040.8;44937.5;75726.90000000001;39969.3;37236.8;61728.9;8804631.0;19602.0;17654310;435339.9;381468.7;54136.0;24513.0;41820.0;36065.9;39830.5;12749.2;19716.0;4491577.0;70696.7;33114552;1016891840;45434.9;132547.7;34430.7;4025096.3;174599.3;29951.5;220613.4;47560.60000000001;56597.2;623883.1;789468.7000000001;213664.4;14580.3;102019.5;40018.9;21479.2;260292.9;652723.0;111746.3;55195.60000000001;98159.6;26503.2;446821.9;74355.6;123928.7;33289.5;61017.60000000001;22413064
pall;2002;2896382.5;75781.1;45456.9;78197.5;40470.7;37900.5;62913.2;8898185.0;21560.0;17820170;443391.0;381881.5;54712.7;23694.4;42440.9;36216.5;39684.9;12997.9;20414.5;4716099.5;72237.90000000001;34138532;1078820736;47313.5;129739.3;34445.8;4021416.3;170158.7;30811.8;217334.3;47314.10000000001;58386.9;700062.6000000001;796048.8;217001.5;15193.1;103687.1;40852.7;21522.8;265933.3;689039.4;103323.9;56839.9;99767.6;26711.1;455020.8;73766.7;130338.0;33741.6;61464.10000000001;24005372
pall;2003;3119933.8;77669.1;45653.5;81524.6;40720.3;37883.2;63467.60000000001;9137725.0;23330.6;18241196;460164.7;382292.0;55547.2;24290.6;43179.8;36259.3;39385.3;13312.6;21545.9;4924214.5;75897.0;35300056;1154133504;47952.3;129310.0;34305.5;4076499.3;169782.4;31833.2;217176.7;47132.3;60042.7;731062.9;798878.1000000001;225143.3;15658.2;106823.0;42310.60000000001;21238.5;263426.3;742352.1000000001;109581.1;60308.0;100830.6;27042.3;463722.0;73192.90000000001;136258.5;34645.2;62602.10000000001;24632858
pall;2004;3367328.0;79666.6;46610.2;85341.70000000001;41992.2;39615.0;64810.4;9680636.0;25696.1;18933848;482245.8;391464.7;56735.5;26595.2;44758.8;37034.4;39856.60000000001;13658.7;22580.5;5183423.0;80535.5;36607644;1178874496;50286.5;133064.3;34533.8;4162588.8;172992.0;33215.8;222305.2;47874.3;61257.60000000001;776866.8;826049.3;236162.7;16274.2;111649.7;44460.7;21562.4;302417.8;800255.7000000001;112992.9;65477.7;103702.5;27404.5;481914.7;74653.6;147946.9;35300.6;64429.5;25810686
