#Income gini indes
Percentile;Year;"Argentina";"Australia";"Austria";"Bangladesh";"Belgium";"Brazil";"Canada";"Chile";"China";"Colombia";"Czech Republic";"Denmark";"Egypt";"Ethiopia";"Finland";"France";"Germany";"Ghana";"Greece";"Hungary";"India";"Indonesia";"Iran";"Ireland";"Israel";"Italy";"Japan";"Kenya";"Malaysia";"Mexico";"Netherlands";"New Zealand";"Nigeria";"Norway";"Pakistan";"Peru";"Philippines";"Poland";"Portugal";"Qatar";"Russian Federation";"Saudi Arabia";"Singapore";"South Africa";"Spain";"Sweden";"Switzerland";"Turkey";"United Kingdom";"USA";"Korea"
pall;1995;0.6419;0.4587;0.442;0.5207;0.442;0.6857000000000001;0.4791;0.7245;0.4774;0.7422000000000001;0.3371;0.3837;0.4961;0.6483;0.3664;0.4255;0.4049;0.5639000000000001;0.4982;0.3378;0.463;0.5735;0.6022000000000001;0.4237;0.5829;0.479;0.467;0.6136;0.5645;0.6976;0.3801;0.5447000000000001;0.5884;0.3253;0.4913;0.6833;0.6117;0.4157;0.4934;0.6625;0.5619000000000001;0.6365000000000001;0.3963;0.5607;0.4741;0.3979;0.3634;0.6171;0.4517;0.5284;0.3384
pall;1996;0.6419;0.4566;0.4432;0.5208;0.4465;0.6857000000000001;0.484;0.7245;0.4713;0.7422000000000001;0.3429;0.3847;0.5129;0.61;0.4045;0.4337;0.4147;0.5644;0.5015000000000001;0.3061;0.4596;0.5788;0.6057;0.3953;0.5850000000000001;0.4847;0.478;0.6209;0.5670000000000001;0.6976;0.3581;0.5337000000000001;0.5858;0.3449;0.4871;0.6833;0.6236;0.4162;0.4838;0.6625;0.6343;0.6365000000000001;0.423;0.5732;0.4721;0.3642;0.3802;0.617;0.4595;0.5356000000000001;0.3626
pall;1997;0.6419;0.455;0.4177;0.5213;0.4424;0.6857000000000001;0.4902;0.7245;0.471;0.7422000000000001;0.3307;0.3639;0.5289;0.5717;0.3814;0.439;0.4056;0.5650000000000001;0.5214;0.3283;0.4658;0.5306000000000001;0.6091;0.4095;0.5870000000000001;0.4857;0.4766;0.6282;0.5691;0.6976;0.3584;0.5434;0.5832;0.3596;0.5083;0.6833;0.6349;0.4142;0.4912;0.6625;0.5923;0.6365000000000001;0.4246;0.5856;0.4603;0.3757;0.4098;0.6169;0.4548;0.5418000000000001;0.3459
pall;1998;0.6419;0.4624;0.4207;0.5209;0.4485;0.6857000000000001;0.4918;0.7245;0.472;0.7422000000000001;0.3427;0.362;0.544;0.5334;0.4238;0.4442;0.4177;0.5656;0.5294;0.3161;0.4697;0.478;0.6151;0.4303;0.5886;0.4962;0.4793;0.6296;0.5634;0.6976;0.3566;0.5571;0.5807;0.334;0.5282;0.6833;0.625;0.4233;0.4867;0.6625;0.5636;0.6365000000000001;0.4436;0.5981000000000001;0.461;0.378;0.4134;0.6168;0.4624;0.5433;0.3525
pall;1999;0.6419;0.465;0.4061;0.5228;0.4444;0.6857000000000001;0.4927;0.7245;0.4813;0.7422000000000001;0.3406;0.3743;0.5584;0.4951;0.3927;0.4426;0.4289;0.5701;0.5337000000000001;0.351;0.4715;0.4699;0.6321;0.4486;0.5901000000000001;0.4938;0.4854;0.631;0.5584;0.6976;0.354;0.5253;0.5781000000000001;0.3418;0.5231;0.6833;0.6145;0.4144;0.4926;0.6625;0.5816;0.6365000000000001;0.4734;0.6106;0.4631;0.3833;0.4067;0.6168;0.468;0.5467000000000001;0.3624
pall;2000;0.6419;0.468;0.4486;0.5233;0.4521;0.6857000000000001;0.5017;0.7245;0.498;0.7422000000000001;0.374;0.3782;0.5573;0.4958;0.4078;0.444;0.4176;0.5746;0.5446;0.3452;0.4744;0.472;0.6347;0.4619;0.5917;0.4998;0.497;0.6325000000000001;0.5538000000000001;0.6976;0.3529;0.4929;0.5755;0.3747;0.5164;0.6833;0.6094;0.4379;0.4935;0.6625;0.6014;0.6365000000000001;0.4829;0.623;0.4586;0.3589;0.4116;0.6167;0.4803;0.5501;0.3734
pall;2001;0.6649;0.4611;0.4104;0.5241;0.4473;0.6857000000000001;0.4982;0.7176;0.5072;0.7422000000000001;0.3773;0.361;0.5563;0.4964;0.3974;0.443;0.4174;0.5791000000000001;0.5389;0.3668;0.4841;0.4831;0.6165;0.4344;0.5932000000000001;0.5039;0.5079;0.6339;0.5497000000000001;0.6976;0.3694;0.5025000000000001;0.5729000000000001;0.3466;0.5088;0.7429;0.6074;0.4413;0.5106;0.6625;0.6079;0.6365000000000001;0.5189;0.6281;0.4526;0.3499;0.3795;0.6166;0.462;0.5438000000000001;0.3844
pall;2002;0.6711;0.4754;0.4484;0.5282;0.4397;0.6917;0.5002;0.7108;0.5346000000000001;0.7422000000000001;0.3701;0.3879;0.5552;0.497;0.4274;0.4461;0.4227;0.5836;0.519;0.3882;0.4939;0.4846;0.6176;0.43;0.5979;0.4991;0.5176000000000001;0.6353;0.5459;0.6976;0.3909;0.4798;0.5704;0.3532;0.5179;0.7324;0.6002000000000001;0.4513;0.5008;0.6625;0.5931000000000001;0.6365000000000001;0.5142;0.6333000000000001;0.4553;0.353;0.396;0.6165;0.4596;0.5402;0.4007
pall;2003;0.6239;0.4706;0.4296;0.5337000000000001;0.4451;0.6861;0.503;0.7040000000000001;0.5428000000000001;0.7157;0.3758;0.3807;0.5542;0.4976;0.3918;0.4504;0.4131;0.5881000000000001;0.4946;0.3912;0.5038;0.4859;0.624;0.4384;0.6026;0.5008;0.5245000000000001;0.6368;0.547;0.7126;0.3755;0.4828;0.5678000000000001;0.3633;0.5278;0.7664000000000001;0.5923;0.4628;0.4972;0.6625;0.5963;0.6365000000000001;0.5018;0.6387;0.4575;0.3662;0.4145;0.6081;0.4739;0.544;0.4074
pall;2004;0.6074;0.4749;0.409;0.5346000000000001;0.439;0.6786;0.5071;0.7149;0.546;0.7288;0.3486;0.3895;0.5532;0.4983;0.401;0.4566;0.4257;0.5927;0.5031;0.3797;0.514;0.5025000000000001;0.6234000000000001;0.4444;0.6072000000000001;0.5045000000000001;0.5335;0.6382;0.5481;0.7276;0.3778;0.4968;0.5619000000000001;0.3747;0.5324;0.7163;0.5940000000000001;0.4737;0.515;0.6625;0.5892000000000001;0.6365000000000001;0.482;0.6335000000000001;0.4433;0.3979;0.4184;0.5956;0.4667;0.551;0.4187
