# National income
Percentile;Year;"Argentina";"Australia";"Austria";"Bangladesh";"Belgium";"Brazil";"Canada";"Chile";"China";"Colombia";"Czech Republic";"Denmark";"Egypt";"Ethiopia";"Finland";"France";"Germany";"Ghana";"Greece";"Hungary";"India";"Indonesia";"Iran";"Ireland";"Israel";"Italy";"Japan";"Kenya";"Malaysia";"Mexico";"Netherlands";"New Zealand";"Nigeria";"Norway";"Pakistan";"Peru";"Philippines";"Poland";"Portugal";"Qatar";"Russian Federation";"Saudi Arabia";"Singapore";"South Africa";"Spain";"Sweden";"Switzerland";"Turkey";"United Kingdom";"USA";"Korea"
pall;1995;21577.3592;33771.2863;38935.2838;2784.8836;38594.6848;15313.4925;35198.1942;15420.0753;3661.1255;13579.5107;21538.0708;41357.385;12067.2492;1525.0064;29213.458;36378.4658;36953.9615;4634.1581;23303.5881;13598.1015;3112.5084;6586.9061;10819.5;29823.8555;31180.7456;36502.6704;30048.8052;5931.2584;17990.1285;18368.0079;39351.5315;26077.1424;4988.2282;52733.7509;4945.2776;9285.1547;6575.6345;13100.1688;25223.8833;67470.8632;14016.7725;85604.1002;53370.8437;13008.7863;27922.4787;32080.7282;48351.3965;15782.2965;33816.0399;42170.6402;18409.3276
pall;1996;22396.9085;34909.483;39915.18;2831.4075;38937.4151;15235.6856;35424.6718;16155.5691;3686.0544;13431.2868;22092.1505;42371.6992;12511.5334;1598.9181;30297.2491;36856.4882;37185.0191;4687.2515;23598.7063;13371.9607;3261.2323;6919.8969;11208.0148;32276.9185;31684.3845;36876.0534;30597.9938;6047.1219;19110.2696;19247.1501;40501.9149;26203.2651;5069.0913;55507.6776;4929.5612;9356.2873;6727.3394;13913.9079;25299.4879;70682.3152;15464.9549;83780.41;56013.5985;13188.5655;28254.1809;32541.2568;48680.3483;16521.134;34576.8509;43360.8804;19442.4365
pall;1997;23948.7617;36172.472;40344.6823;2896.2036;40262.6708;15332.1122;36561.6758;17003.5459;3861.0902;13559.1486;21373.5625;43040.8167;12834.5122;1536.3112;32381.9576;38086.045;37643.1813;4786.5279;24583.7409;13578.1659;3340.3834;7028.8147;11314.9657;34062.013;31397.0204;37563.2109;30645.9064;5844.5439;19995.7917;20472.6131;41864.1853;27316.4092;5087.3318;58682.3001;4852.3982;9666.3123;6964.0407;14750.4667;26314.82;85491.8492;15802.5334;81017.5138;60793.0486;13205.4324;28793.3677;33423.8703;50657.072;16671.1458;36364.5575;44704.396;20105.3651
pall;1998;24442.7282;37512.0229;41669.0192;2955.9898;40944.6849;14873.8519;37544.3866;17420.7278;3754.9906;13374.0156;20866.2988;44135.4118;13090.006;1494.821;33718.4016;39370.643;38255.6956;4815.75;26069.1989;14144.5012;3434.5007;5578.5314;11103.3302;35745.9732;31681.8069;37966.0656;29683.6378;5861.4467;17878.3172;21162.4042;43107.3861;27656.3583;5108.5493;60023.4004;4852.1326;9445.2699;6704.595;15360.938;27326.5986;89316.5373;14712.5314;77996.6004;59405.4077;12920.7698;29691.8985;34821.4699;52030.3294;15748.8979;38064.2154;46129.9302;18118.7458
pall;1999;23110.5914;38781.5026;42628.4021;3022.1514;42090.7252;14324.2805;39164.7544;16685.2077;3901.6388;12451.7756;20776.2046;45481.8797;13271.4547;1539.6516;34995.2212;40772.8024;38965.0564;4871.9631;26055.0312;14473.2244;3635.6826;5610.0998;11137.4558;38660.5336;30670.7374;38695.6581;29218.5816;5765.7658;17831.7179;21299.3537;45706.9838;28280.0949;4815.3147;61384.7615;4938.8462;9313.4013;6290.603;15947.9567;28108.1323;89198.7235;16526.7263;72166.7687;65502.3425;12815.3446;30404.444;36289.1579;53254.86;14634.5213;38746.568;47738.419;20006.3682
pall;2000;22563.0329;39518.8858;44124.6857;3092.9774;43621.5233;14718.8706;40784.8336;17056.3872;4090.8592;12420.2251;21319.0187;46399.743;13568.277;1604.4916;37513.1717;41844.8131;39876.9572;4901.5802;26025.1778;15408.6681;3706.9076;5850.3372;11177.4977;40806.4384;31300.1553;39906.6598;29647.4794;5554.6802;18995.8895;22413.1122;46136.8982;28879.1663;4907.8066;64058.3461;4909.4003;9248.7284;6479.3701;16584.5529;28313.0122;95928.4614;18930.5574;72258.0283;67292.0627;13064.9512;31636.952;37640.4305;55516.6434;15389.7929;40460.5096;49008.6725;21625.1018
pall;2001;21122.2329;39969.9194;44065.0605;3154.839;43307.2262;14431.2409;40432.3364;17282.7625;4273.8796;12278.355;21725.8878;46858.5268;13730.0874;1638.7851;38208.9324;42377.9766;40303.0255;4965.3555;26682.3314;15820.4787;3770.729;5984.083;11071.0465;40630.0124;31337.1381;40613.8715;29517.4862;5621.2443;18690.4702;21896.4144;47417.92;29898.1883;5077.3453;65921.3521;4880.4464;9123.4341;6461.0544;16604.2433;28417.6579;85094.0926;20096.4115;66666.802;64718.4261;13190.1631;32213.3358;38182.2945;54396.9473;13568.3612;41243.7663;48740.6913;22136.7321
pall;2002;17460.7682;41047.4729;44741.4514;3236.6932;43673.6987;14501.9244;41611.5201;17453.2094;4687.8464;12252.2779;21865.2296;47302.9943;13568.4166;1583.6297;39067.9524;42185.7306;39761.4755;4993.9458;27733.271;16779.4428;3820.7202;6158.993;11407.4135;41644.484;30472.7672;40380.0917;29318.5861;5382.9082;19421.7729;21051.6857;47889.215;31159.6905;5770.7518;67326.9932;4926.8571;9346.9227;6481.7425;16720.1351;28395.969;86783.4589;21029.8787;61618.1863;66961.8697;13606.5383;32335.2785;39119.9155;52823.4018;14532.8587;41947.0343;48939.7554;23493.3779
pall;2003;19087.5279;41948.5926;44861.7048;3346.4656;43563.6995;14261.6004;41760.3894;17591.3381;5045.5531;12305.494;22555.4577;47355.2564;13660.6483;1624.2218;39779.4986;42210.6588;39387.9246;5070.1801;29510.6848;17673.8386;3988.2371;6348.0733;11841.9299;42496.3898;29930.1283;40004.936;29737.6139;5338.604;19969.5176;20935.4875;48289.1394;32211.8134;6005.9164;67879.7488;5113.6201;9390.4585;6602.8702;16931.6657;27859.0169;88673.8208;22255.4371;64170.452;72656.2926;13819.4637;32636.04;40923.6899;53204.1204;15255.1959;42658.6685;49818.3648;23679.6397
pall;2004;20560.7884;42836.9205;45868.405;3479.1367;44479.6893;14802.4807;42858.0989;17952.4712;5532.3564;12611.9451;23883.311;48724.1712;13793.1757;1786.4993;41685.0766;43052.9316;40366.3663;5186.1802;30653.841;18273.724;4205.0473;6393.6246;11931.5545;45126.7729;31072.3373;40229.5197;30342.4685;5392.6277;20487.6533;21227.5557;47683.5574;32469.1935;6281.7615;70216.2893;5351.7457;9407.2383;6656.2196;17168.6884;28068.3081;95122.6989;24276.935;66518.228;80878.9365;14333.0922;32728.862;41959.5366;53885.9216;16495.0036;43150.2317;51261.5461;24492.6628
pall;2005;22598.4414;43272.6512;46158.2347;3606.2298;45293.913;14925.4756;43803.9385;18665.2137;5946.5808;12840.0381;25611.8815;51448.537;14164.4897;1937.8573;42161.128;43587.4911;40600.6239;5339.4187;30391.8651;19080.9985;4399.6663;6618.8805;11969.0118;46593.8893;32365.7464;40286.8013;30755.4617;5553.8718;21242.3909;21163.4304;47409.0209;32665.415;6589.3433;72877.9763;5559.9204;9659.8909;6830.5335;17952.9271;28159.965;98304.212;25766.6873;66607.1677;84887.6192;14891.6105;33133.3658;43692.2502;55886.9538;17741.5573;44134.2764;52357.9361;25133.3484
