# Net personal wealth 
Percentile;Year;"Argentina";"Australia";"Austria";"Bangladesh";"Belgium";"Brazil";"Canada";"Chile";"China";"Colombia";"Czech Republic";"Denmark";"Egypt";"Ethiopia";"Finland";"France";"Germany";"Ghana";"Greece";"Hungary";"India";"Indonesia";"Iran";"Ireland";"Israel";"Italy";"Japan";"Kenya";"Malaysia";"Mexico";"Netherlands";"New Zealand";"Nigeria";"Norway";"Pakistan";"Peru";"Philippines";"Poland";"Portugal";"Qatar";"Russian Federation";"Saudi Arabia";"Singapore";"South Africa";"Spain";"Sweden";"Switzerland";"Turkey";"United Kingdom";"USA";"Korea"
p90p100;1995;0.6186;0.5748;0.6068;0.5965;0.5255000000000001;0.6941;0.5784;0.7078;0.4091;0.7100000000000001;0.5740000000000001;0.5225000000000001;0.6032000000000001;0.6930000000000001;0.5293;0.5376000000000001;0.5753;0.6009;0.5021;0.5938;0.5632;0.5989;0.6457;0.6910000000000001;0.6241;0.4472;0.5834;0.6361;0.6318;0.661;0.5926;0.5841000000000001;0.6027;0.509;0.5903;0.6649;0.6424000000000001;0.603;0.5853;0.6708000000000001;0.5255000000000001;0.672;0.5995;0.862;0.5827;0.6359;0.5699000000000001;0.6706000000000001;0.5256000000000001;0.6712;0.6465000000000001
p90p100;1996;0.6186;0.5749000000000001;0.607;0.5961000000000001;0.5259;0.6941;0.5785;0.7077;0.43;0.7099000000000001;0.5742;0.5256000000000001;0.6088;0.655;0.5368;0.5686;0.5766;0.6004;0.5086;0.5938;0.5628000000000001;0.602;0.6437;0.6902;0.6251;0.4545;0.5851000000000001;0.6442;0.6365000000000001;0.6608;0.5783;0.5823;0.6026;0.5094000000000001;0.5900000000000001;0.665;0.6637000000000001;0.603;0.5845;0.6707000000000001;0.5441;0.6725;0.5996;0.8648;0.5741;0.6345000000000001;0.5815;0.6727000000000001;0.5405;0.6732;0.6459
p90p100;1997;0.6186;0.5747;0.6076;0.5959;0.5258;0.6941;0.5796;0.7078;0.4464;0.7100000000000001;0.5738;0.5508000000000001;0.6185;0.6236;0.5421;0.5822;0.5744;0.6;0.4929;0.5939;0.5639000000000001;0.5911000000000001;0.6426000000000001;0.6902;0.6257;0.4625;0.5844;0.6556000000000001;0.6399;0.6608;0.5823;0.5838;0.6022000000000001;0.5103;0.5947;0.665;0.6642;0.6029;0.5858;0.671;0.5957;0.6738000000000001;0.6056;0.8540000000000001;0.5808;0.6346;0.5794;0.6731;0.5653;0.68;0.6436000000000001
p90p100;1998;0.6187;0.5749000000000001;0.6083000000000001;0.5955;0.5256000000000001;0.6940000000000001;0.5812;0.7078;0.4591;0.7100000000000001;0.5744;0.5504;0.6255000000000001;0.6019;0.559;0.5951000000000001;0.5724;0.5995;0.4917;0.5941000000000001;0.5646;0.5852;0.6432;0.6940000000000001;0.627;0.4711;0.5851000000000001;0.6567000000000001;0.6183000000000001;0.661;0.5795;0.5863;0.602;0.5091;0.6002000000000001;0.6649;0.6523;0.6036;0.5880000000000001;0.7007;0.624;0.6776;0.6025;0.8452000000000001;0.5859;0.6315000000000001;0.5740000000000001;0.674;0.5668000000000001;0.6864;0.6403
p90p100;1999;0.6186;0.5749000000000001;0.6096;0.5955;0.5264;0.6941;0.5830000000000001;0.7077;0.4692;0.7099000000000001;0.5743;0.5562;0.6328;0.5905;0.5670000000000001;0.6032000000000001;0.5774;0.6009;0.497;0.5943;0.5651;0.5818;0.6618;0.6952;0.6295000000000001;0.4698;0.5860000000000001;0.6576000000000001;0.6184000000000001;0.6609;0.5670000000000001;0.5873;0.6018;0.5096;0.5977;0.665;0.6441;0.6034;0.5888;0.6707000000000001;0.6574;0.672;0.6032000000000001;0.8408;0.5865;0.6407;0.5986;0.6746;0.5488000000000001;0.6862;0.6409
p90p100;2000;0.6186;0.5753;0.6084;0.5954;0.5256000000000001;0.6942;0.5872;0.7077;0.4775;0.7098;0.5740000000000001;0.5424;0.6317;0.5911000000000001;0.5697;0.6047;0.5740000000000001;0.6034;0.4968;0.5942000000000001;0.5657;0.5811000000000001;0.6636000000000001;0.6976;0.6284000000000001;0.4725;0.5880000000000001;0.6592;0.62;0.6609;0.5511;0.5832;0.6017;0.5119;0.5954;0.665;0.6374000000000001;0.6049;0.5874;0.6709;0.6465000000000001;0.6729;0.6015;0.8365;0.5729000000000001;0.6395000000000001;0.5953;0.675;0.5579000000000001;0.6865;0.6406000000000001
p90p100;2001;0.6288;0.5752;0.6074;0.5956;0.5257000000000001;0.6942;0.5872;0.7062;0.4844;0.7099000000000001;0.5743;0.5196000000000001;0.6299;0.5913;0.5612;0.596;0.5708;0.606;0.4969;0.5949;0.5680000000000001;0.5809000000000001;0.6394000000000001;0.6947;0.6316;0.5287000000000001;0.5888;0.6603;0.6086;0.661;0.538;0.5848;0.6016;0.5102;0.5938;0.7084;0.6295000000000001;0.605;0.5898;0.6709;0.6674;0.6731;0.6135;0.8304;0.5542;0.6339;0.5953;0.6759000000000001;0.5511;0.6819000000000001;0.6488
p90p100;2002;0.6354000000000001;0.5759000000000001;0.6082000000000001;0.5965;0.5254;0.6989000000000001;0.5870000000000001;0.7046;0.4901;0.7098;0.5739000000000001;0.5125000000000001;0.6282;0.5916;0.5641;0.5809000000000001;0.5705;0.6085;0.492;0.5957;0.5715;0.5804;0.6388;0.6950000000000001;0.6308;0.5840000000000001;0.5908;0.6612;0.6112000000000001;0.6609;0.522;0.5831000000000001;0.6009;0.5103;0.5951000000000001;0.7075;0.6261;0.6065;0.5873;0.6707000000000001;0.643;0.6732;0.6119;0.8263;0.5525;0.6458;0.5917;0.6762;0.5545;0.6815;0.6377
p90p100;2003;0.6136;0.5758;0.611;0.5975;0.5254;0.6962;0.5875;0.7023;0.4903;0.7046;0.5740000000000001;0.5062;0.6264000000000001;0.5919;0.5703;0.5729000000000001;0.5709000000000001;0.6137;0.4881;0.5957;0.5694;0.5802;0.6442;0.6957;0.6323000000000001;0.5895;0.5925;0.6624;0.6094;0.6878000000000001;0.5172;0.5831000000000001;0.6008;0.5108;0.5966;0.7139;0.6189;0.6086;0.5864;0.6709;0.6671;0.6724;0.6053000000000001;0.8247;0.5496;0.6462;0.5855;0.6648000000000001;0.5449;0.6817000000000001;0.6546000000000001
p90p100;2004;0.6031000000000001;0.5766;0.6104;0.598;0.5258;0.6912;0.5898;0.7057;0.5061;0.7085;0.5742;0.5097;0.625;0.5922000000000001;0.5722;0.5665;0.5794;0.6175;0.4899;0.5952000000000001;0.5789000000000001;0.5804;0.6452;0.6952;0.6371;0.5977;0.5948;0.6628000000000001;0.6175;0.7010000000000001;0.5219;0.5881000000000001;0.5994;0.5115000000000001;0.5975;0.7018;0.6185;0.6109;0.5890000000000001;0.6707000000000001;0.6702;0.6724;0.607;0.8172;0.5344;0.6491;0.5807;0.6437;0.5403;0.6866;0.6365000000000001
