#population
Percentile;Year;"Argentina";"Australia";"Austria";"Bangladesh";"Belgium";"Brazil";"Canada";"Chile";"China";"Colombia";"Czech Republic";"Denmark";"Egypt";"Ethiopia";"Finland";"France";"Germany";"Ghana";"Greece";"Hungary";"India";"Indonesia";"Iran";"Ireland";"Israel";"Italy";"Japan";"Kenya";"Malaysia";"Mexico";"Netherlands";"New Zealand";"Nigeria";"Norway";"Pakistan";"Peru";"Philippines";"Poland";"Portugal";"Qatar";"Russian Federation";"Saudi Arabia";"Singapore";"South Africa";"Spain";"Sweden";"Switzerland";"Turkey";"United Kingdom";"USA";"Korea"
pall;1995;35070020;18095344;7950322;122600370;10137265;161735073;29459131;14527381;1220133927;35804662;10312042;5233360;65652622;57537335;5107922;59973548;82019890;17399017;10519235;10322788;960301044;199888057;62205567;3610697;5354739;57403344;125672665;26601751;20330599;90862455;15565032;3674428;110819428;4358993;134582253;24348919;70546246;38364667;10031751;514325;148291403;13289245;3533624;44541554;40052738;8826302;7040477;61024503;58154635;268205795;45368425
pall;1996;35513793;18305307;7960914;124862179;10156969;164202549;29767206;14734046;1230944812;36462745;10296128;5263068;67028048;59467635;5124717;60195176;82263189;17810181;10570080;10302235;979678458;203204348;62881300;3638509;5499551;57162092;125975302;27344211;20850087;92452702;15640027;3729378;113754779;4381135;138557092;24811171;72190242;38359171;10067649;529019;148084582;13831009;3664560;45123018;40237372;8840327;7071883;61951134;58298565;270860696;45638700
pall;1997;35947791;18504912;7969803;127198069;10181464;166661659;30059089;14932434;1241139622;37121149;10280051;5285035;68431740;61404539;5139925;60416200;82389638;18238958;10622325;10278602;999133762;206536095;63639638;3672293;5646473;57189274;126265929;28101768;21375218;94021207;15723622;3776950;116754792;4404986;142531804;25274147;73908810;38348310;10110551;550500;147853771;14374943;3796622;45666838;40423826;8845524;7089163;62852966;58447089;273468013;45941537
pall;1998;36372860;18701717;7978466;129622332;10203182;169159655;30329969;15127799;1250847127;37792165;10265426;5304262;69943294;63363524;5153548;60657508;82011939;18688036;10675409;10251717;1018665080;209826788;64519859;3711073;5790140;57215194;126549181;28888057;21906713;95575245;15827107;3811371;119846254;4431313;146522356;25738095;75791024;38326437;10159525;580540;147635531;14922185;3901418;46223880;40617440;8850609;7110291;63734383;58626819;276119333;46230878
pall;1999;36794682;18909981;7993892;132108065;10226682;171641543;30599456;15319313;1260176655;38454863;10251378;5321810;71520954;65374561;5165516;60987092;81678287;19149864;10727951;10219796;1038225823;213004668;65445391;3752938;5946081;57240798;126801564;29733408;22435531;97115707;15940184;3835555;123047320;4461787;150565377;26186504;77753257;38287713;10214871;612500;147241975;15472075;3966557;46730335;40812857;8857686;7144121;64591923;58838657;278785484;46500383
pall;2000;37213984;19132471;8012928;134544304;10251717;174018282;30891803;15503635;1269581175;39089934;10236804;5339658;73083284;67411494;5176202;61404920;81797258;19637087;10782635;10190600;1057922733;216077790;66418659;3802585;6111190;57272196;127027789;30642890;22967816;98625552;16058760;3857574;126382494;4490867;154879127;26598331;79625397;38258071;10283204;644989;146717783;16177722;4035245;47159719;41019774;8872101;7184007;65425961;59057338;281484131;46766661
pall;2001;37624825;19365433;8042233;136805810;10287004;176301203;31213577;15683849;1278725063;39709262;10231936;5358828;74652029;69487762;5187971;61843576;81933885;20167069;10843164;10166690;1077898575;219097902;67452005;3862981;6259982;57305760;127260148;31619170;23526538;100099099;16182705;3891762;129862595;4513657;159270907;26964601;81401488;38247357;10354325;677925;146117284;17041397;4116166;47566800;41245599;8896022;7226391;66245128;59288090;284279639;47043468
pall;2002;38029349;19595355;8081636;138933658;10332973;178503484;31535577;15857925;1286866839;40324680;10239468;5375959;76239137;71635517;5200546;62281564;82068326;20729388;10890285;10138466;1097600380;222088495;68011317;3928443;6387720;57420628;127484598;32629808;24102477;101548624;16288051;3951119;133471989;4538014;163222549;27288217;83068889;38229408;10413044;711205;145939500;17910910;4146892;48019415;41755704;8925047;7278752;67048795;59540763;287084338;47299120
pall;2003;38424282;19819454;8122602;140970351;10376260;180622688;31836482;16024752;1294517326;40937429;10248912;5390620;77853548;73832663;5212955;62710292;82111615;21296705;10918471;10108963;1116803006;225048008;68769340;3992935;6502820;57739699;127671251;33652223;24679602;102978515;16366912;4022586;137202644;4564669;167110248;27580490;84731835;38203524;10454245;744682;145794229;18786767;4138245;48500348;42506543;8958431;7333447;67831730;59820385;289908100;47514160
pall;2004;38815916;20046677;8173491;142902856;10421292;182675143;32132678;16187322;1302100316;41543171;10261450;5404598;79477443;76077206;5228148;63156880;82092708;21868298;10947365;10085791;1135991513;227926649;70256316;4066064;6615087;58176738;127815774;34713455;25256772;104394131;16425566;4083910;141057045;4591743;171286000;27852190;86394504;38167572;10481381;773332;145180097;19669480;4172767;48991421;43234566;8993808;7384194;68592617;60169967;292786253;47697075
pall;2005;39216789;20294490;8229204;144715786;10478886;184688101;32440173;16348778;1310027136;42128977;10280153;5419555;81101004;78367470;5246082;63617228;82046731;22449438;10981334;10065706;1154676322;230871650;71828455;4155284;6728206;58519693;127913330;35796484;25836071;105811504;16465710;4135007;145017253;4623124;175453212;28101180;88015962;38124379;10502994;825408;144597884;20559890;4268364;49490033;43958885;9029771;7431823;69329557;60596108;295716664;47851644
