# Average National Income individual | Dollar $ | ppp | constant (2023)
"Percentile";"Year";"Argentina";"Australia";"Austria";"Bangladesh";"Belgium";"Brazil";"Canada";"Chile";"China";"Colombia";"Czech Republic";"Denmark";"Egypt";"Ethiopia";"Finland";"France";"Germany";"Ghana";"Greece";"Hungary";"India";"Indonesia";"Iran";"Ireland";"Israel";"Italy";"Japan";"Kenya";"Malaysia";"Mexico";"Netherlands";"New Zealand";"Nigeria";"Norway";"Pakistan";"Peru";"Philippines";"Poland";"Portugal";"Qatar";"Russian Federation";"Saudi Arabia";"Singapore";"South Africa";"Spain";"Sweden";"Switzerland";"Turkey";"United Kingdom";"USA";"Korea"
pall;1995;32274.154;50297.2529;58247.2019;4166.187;57737.6664;22906.3587;52396.8612;23068.4395;5543.9264;20313.8156;32124.8398;61647.3267;18052.6313;2281.6736;43812.9531;55571.4101;55087.9966;6932.7026;34951.1219;22377.6175;4656.3141;9854.0135;16185.9778;44616.3681;46646.4094;53830.4738;44398.2166;8873.1772;26909.5328;28990.7659;58459.8686;39011.4173;7462.4;78889.7159;7398.138;13890.5964;9837.1527;19597.8583;37734.9412;100936.4812;21219.3074;128063.7736;79842.8086;18310.1333;41709.2468;49562.3242;72333.7133;23610.3226;50555.8439;62578.6;27304.6038
pall;1996;33500.0116;52008.6427;59713.127;4235.7905;58250.3911;22789.9596;52719.7886;24168.7364;5632.9907;20092.0643;32960.2381;63250.5125;18717.2599;2392.25;45444.3158;56318.4543;55460.8331;7012.1305;35350.6076;21864.5723;4878.8052;10352.1679;16767.1975;48286.2852;47399.8534;54729.5076;45205.4591;9046.4999;28584.9948;30271.2969;60170.858;39200.097;7583.3742;83039.5007;7374.6262;13997.0108;10064.1032;20815.2123;37848.0457;105740.7341;23406.8711;125335.4811;83796.371;19071.0358;42197.6455;50195.1227;72825.8254;24715.6239;51693.5595;64447.0;28915.0669
pall;1997;35821.4993;53907.4305;60355.6627;4332.7219;60232.9742;22934.1728;54442.9318;25437.31;5928.4774;20283.3497;31919.7177;64288.0021;19200.4363;2298.59;48572.4099;58178.3081;56196.7909;7160.6184;36779.37;22067.527;4997.2153;10515.1106;16927.1947;50956.7874;46969.9566;55774.0707;45323.3418;8743.4431;29909.534;32090.7738;62172.7369;40865.2925;7610.6591;87788.7374;7259.1903;14460.8083;10418.2085;22066.7046;39366.983;127895.8437;23882.3357;121202.1872;90946.4308;19388.8717;42984.6991;51545.1096;75783.0051;24940.0292;54387.8117;66600.4;30023.2541
pall;1998;36560.4663;55872.1338;62336.8712;4422.162;61253.2676;22248.5739;55854.2828;26061.4142;5790.1469;20006.3977;31189.9679;65918.3551;19582.6551;2236.5252;50567.1105;60110.5094;57329.0987;7204.3052;38925.5413;22853.8383;5138.0099;8345.4853;16610.5893;53475.9927;47395.9973;56388.0126;43987.4968;8768.732;26741.5888;33068.4098;63979.3137;41373.925;7642.3932;89795.0457;7258.793;14130.1288;10030.0775;22979.97;40880.6042;133617.5386;22199.0551;116682.9504;88870.6487;19028.2483;44294.8668;53736.0732;77837.3988;23560.3583;56828.0849;68835.6;27096.9621
pall;1999;34567.7028;57755.6122;63772.1085;4521.1398;62967.7444;21426.5383;58237.8692;24961.0736;6022.7987;18626.758;31072.9771;67963.5133;19854.1025;2303.5919;52472.8696;62118.6383;58613.188;7288.4;38830.5428;23251.813;5438.983;8392.7109;16661.6399;57836.1764;45883.437;57495.8927;43382.3849;8625.591;26671.9437;33171.7561;67831.9687;42307.0353;7203.7142;91831.6317;7388.5166;13932.8533;9410.7454;23858.1502;42049.779;133441.289;24908.6164;107961.4684;97991.925;18981.917;45303.827;56004.8205;79669.2973;21893.2504;57847.0532;71355.2;29977.2254
pall;2000;33748.7793;58833.8601;66010.5495;4627.0956;65257.6759;22016.8453;60634.4037;25516.3583;6266.5972;18579.5765;31932.4105;69343.0676;20298.1487;2400.5971;56241.5216;63707.0023;60073.1357;7332.6776;39644.8427;24611.6301;5545.5308;8752.107;16721.5426;61046.4509;46825.0463;59297.6067;44157.338;8309.8069;28413.4101;34771.587;68407.0912;43203.2464;7342.0815;95831.3372;7344.4655;13836.1026;9693.141;24810.4984;42356.2795;143509.343;28437.3392;108098.0438;100669.3473;19500.9021;47099.6706;58107.3519;83052.9263;23023.1371;60318.158;73310.2;32489.386
pall;2001;31593.5873;59532.9174;65921.3501;4719.6406;64787.6306;21586.4688;60135.1221;25855.0135;6589.2767;18367.3443;32385.9945;70057.2901;20540.2172;2451.9001;57314.979;64541.9078;60733.2026;7428.056;40414.1035;25733.6389;5641.0124;8952.1907;16562.2914;60782.5176;46880.3727;60332.7221;44011.1465;8409.3891;27956.3679;33845.3432;70302.4659;44727.7038;7595.712;98618.3626;7301.1504;13648.6051;9665.7407;24839.9552;42512.8294;127300.7997;30151.2156;99733.5156;96819.0563;19565.7769;48099.1011;58931.6463;81377.8604;20298.2621;61492.6578;72814.2;33350.1353
pall;2002;26116.1787;61123.7458;66933.2312;4842.0945;65335.8736;21692.2114;61915.4098;26110.0068;7239.8649;18328.3135;32508.3793;70737.5919;20298.3576;2369.3876;58610.0842;64305.9206;59925.1556;7470.7976;41546.1374;27256.7517;5715.7993;9213.8562;17065.4981;62300.1676;45587.2734;59988.4571;43717.1994;8052.8359;29050.2623;32444.8001;71062.7725;46614.9116;8633.0491;100721.1914;7370.5808;13982.9442;9696.6901;25013.3294;42480.3829;129828.0924;31330.8332;92180.8353;100175.2491;20118.8271;48588.0103;60392.0065;79023.8355;21741.1631;62510.7103;73086.4;35482.9397
pall;2003;28549.7636;62477.2789;67113.1303;5006.314;65171.3147;21332.6454;62117.6603;26316.6474;7795.1135;18407.8819;33515.8562;70831.2055;20436.3364;2430.1225;59689.1887;64443.6047;59370.4065;7584.8441;44197.5796;28669.5114;5966.4046;9496.7212;17715.5335;63574.4853;44775.4853;59425.898;44365.1967;7986.5591;29869.5538;32178.9392;71669.3137;48188.8194;8984.8542;101548.1033;7649.9784;14048.0737;9877.8972;25329.7794;41677.1022;132656.0746;33113.4322;95998.9749;108694.1085;20256.0354;48973.9644;63235.8614;79593.2883;22821.7798;63554.4048;74363.8;35854.8982
pall;2004;30753.4596;63747.7444;68619.1543;5204.79;66541.6358;22141.7615;63765.0997;26856.9049;8550.289;18866.2859;35472.8573;72856.5625;20634.5974;2672.8942;62549.4317;65747.5012;60848.0948;7758.3507;45899.6046;29615.3925;6290.748;9564.8651;17849.6119;67509.5397;46484.2306;59786.5723;45309.6732;8067.3854;30644.5502;32524.8684;70748.3189;48573.9288;9397.5198;105043.5581;8006.2144;14073.1191;9957.708;25684.3654;41990.0187;142303.5991;35997.3365;99511.2489;120995.1878;20878.9604;49145.6697;64916.9445;80613.3657;24676.5327;64224.61;76455.7;37111.369
pall;2005;33801.3164;64386.6274;69052.7397;5394.9214;67759.715;22325.6796;65175.2423;27923.1635;9100.611;19207.4563;38078.8458;76882.6271;21190.0832;2899.335;63260.193;66516.9209;61276.2654;7987.5661;45497.6587;30901.4309;6581.903;9901.848;17905.6494;69704.3465;48419.1711;59915.0294;45991.4416;8308.609;31773.3683;32310.4399;70340.8074;48867.4762;9857.6617;109025.3891;8317.6421;14451.0875;10218.4816;26857.5868;42127.3207;147063.1441;38221.033;99644.3027;126992.1791;21586.5948;49708.4343;67670.2923;83606.8084;26541.3777;65737.6466;78027.2;38023.6299
pall;2006;36139.9133;65160.6722;71681.6667;5654.2597;68861.7866;22723.0578;66477.4834;28402.1636;10106.4933;20113.4016;39707.9028;80621.2335;22273.1584;3132.1892;66264.3081;67678.3599;64249.6645;8086.814;47286.1664;31916.7648;6917.3707;10313.4954;17878.4462;70860.4092;50660.3624;60763.8406;46594.6892;8602.1496;32874.1396;33288.2163;74468.2431;48774.1309;10230.8651;109389.2602;8482.1251;14892.2412;10508.0586;28262.9908;41927.5087;143884.9628;41236.9788;96789.3871;130959.2005;22083.2453;50399.5099;71297.8029;86006.2133;27745.6157;65541.515;78847.0;39922.069
pall;2007;39280.0755;66296.6137;73848.0934;6022.857;70818.5902;23677.0866;67043.7502;29689.7092;11236.5319;20984.4657;41613.8204;79751.1528;23273.2333;3376.604;68435.0948;68662.8831;65736.9272;8093.9918;48174.8376;31585.418;7272.5039;10800.7796;18890.398;72041.3536;52693.4373;61073.132;46998.841;8878.1898;34034.7801;33127.7888;76736.1161;49991.5981;10254.6135;110979.2525;8561.7853;15926.7654;10991.2827;29914.7797;42932.2511;128374.1547;44947.8153;92157.5624;136580.2475;22365.0518;50844.1739;73511.9359;84506.5213;28547.4864;66806.2201;79734.7;42362.1156
pall;2008;40211.1639;66863.415;74889.5713;6365.5424;70598.3191;24439.174;65972.6772;31235.713;11796.8722;21173.1958;42592.0946;77602.3953;23827.6542;3557.8828;68013.8744;67823.2042;65995.4346;8635.0996;47372.2706;32529.8163;7436.6154;11401.1029;18967.6346;69221.2937;53204.647;58972.7346;45832.9021;8637.2887;35234.8615;32630.2716;76519.5132;48100.4122;10705.3497;110131.0165;8566.2635;17319.7591;11227.8829;31840.6218;42467.3676;123735.1357;47250.9887;92034.6649;130433.7844;22438.4704;49808.3263;72187.873;79380.3197;28108.8299;65850.8992;78694.9;42741.6586
pall;2009;36440.5136;66258.6947;70096.9454;6683.5409;66608.5192;23880.96;62933.9995;30082.0184;12411.1025;20972.02;39152.0349;73187.0595;23890.5465;3773.1306;62673.6674;65217.4995;62249.0476;8605.089;45038.9409;30262.9707;7692.4115;11644.5812;18559.7009;63877.6139;52574.346;55370.4669;42621.2269;8684.395;33424.087;29721.4945;72909.954;49738.6535;11186.7059;107460.7975;8711.5835;17111.3904;11008.015;32109.8884;40622.3152;118058.5524;42490.4184;83696.2167;120441.042;21606.6631;47193.2662;66653.1308;80774.5007;25703.6518;61650.6315;74931.4;42151.7571
pall;2010;39766.2012;66665.1019;71927.4423;7100.6411;67941.4601;25037.3809;64184.4479;31412.3824;13309.4801;21280.2191;39624.5097;75476.416;23720.6831;4122.3121;65412.8834;66467.9931;64714.1613;9033.0956;41978.5509;30621.4244;8109.5174;12114.2273;19634.0568;65269.2501;55583.7349;55839.2109;44724.9956;9014.8715;34200.1621;30822.1327;75403.2165;50353.2512;11784.3645;109054.4988;8796.9154;18104.3437;11434.0585;32661.94;41250.348;125768.7844;44390.2406;82739.1172;137191.8526;22040.7737;47366.6732;71279.9877;85997.1988;27939.0505;63557.7627;76637.5;44627.8322
pall;2011;41969.4938;67989.1503;73240.4737;7569.6996;67148.4555;25785.0675;65195.1825;31835.6617;14144.4998;22163.816;39788.1656;76613.15;23727.2813;4389.3805;66171.3881;67080.3367;67707.413;9928.7784;37211.7835;31242.2607;8446.4369;12664.7508;20080.7894;62602.895;57580.8198;55845.3437;45627.6081;9156.5612;35460.2475;31101.9604;77516.2591;51135.2669;12004.7728;108357.5532;9027.3439;18850.5597;11644.9524;34306.2595;40906.0848;139275.7625;44371.2514;87460.4611;148619.007;22346.7693;47501.4509;72124.7684;83271.1192;30736.6651;63382.0838;77024.7;45824.8333
pall;2012;40966.2047;68832.3708;72696.1392;8017.8912;68635.5003;25875.0927;65764.2979;34109.7462;15094.9784;22654.7994;40100.9735;76197.2559;23965.5495;4597.0711;64361.6292;66496.3355;67251.7865;10375.01;35994.97;30986.999;8656.852;13154.5943;18308.8396;63091.5662;56963.54;53168.9613;46405.1367;9251.5501;35872.8598;31244.1267;76862.9892;52320.9102;12224.8754;109656.081;9271.7265;19941.0071;12076.847;34492.2054;38833.1735;141066.9874;45976.7713;86966.0643;149787.9932;22270.37;46211.0233;70967.7203;83922.8296;31538.8829;62623.6576;77738.7;45987.23
pall;2013;41561.9051;69368.3407;72089.4743;8465.0348;68926.2352;26606.486;66502.5165;35295.1769;15969.3285;23467.9967;39949.4094;77511.5716;23948.9077;4878.7955;63624.1726;66666.3895;67256.2921;11108.5288;35028.3319;32147.1638;8913.0803;13707.5627;17327.1269;59738.5563;59850.2331;52021.964;47667.5947;9181.0208;36812.564;30637.9053;76492.4878;53238.6573;12759.1262;110048.4886;9622.8583;20975.4741;12579.6198;34676.6259;39314.1887;142387.81;46505.1278;83994.3247;157607.635;22146.8015;45911.8578;71377.5064;84611.9299;33633.1296;63359.3417;78364.6;46473.0809
pall;2014;39828.981;69620.8037;71479.2631;8997.0161;69259.7927;26201.4136;67794.1401;35073.177;17118.4404;24129.2134;40566.4541;78850.5708;24266.2088;5168.2997;63353.7548;66695.776;68111.6477;10971.354;35863.4482;33084.2889;9261.061;14038.2033;17661.2924;63109.6255;61226.7968;52016.1627;48117.9444;9221.5434;38120.5178;31043.4643;74992.3767;53066.9183;13430.7841;113361.0455;10036.6279;21310.8424;12997.5622;35649.7516;39300.9901;137946.1033;45367.5414;83014.7178;161729.693;21906.7522;46772.0861;72347.0891;83163.5593;34156.6633;64315.4257;79216.0;46968.9841
pall;2015;40580.2898;69789.7738;70507.208;9643.3899;69811.4729;24801.0441;67385.2367;35944.1841;18077.2034;24833.2794;43084.0614;78975.3832;25050.3995;5397.3049;63335.4018;67215.9324;68832.3991;11003.7277;36148.4437;34482.2839;9846.6291;14569.7855;16971.2424;62976.388;61414.0401;52114.4531;49041.3242;9399.4089;39612.4617;30984.3161;74391.6932;54225.7446;13549.591;114793.4432;10484.0521;21804.4314;13678.5023;37155.2035;39887.4106;135917.8212;44558.392;79912.6803;159922.7014;21678.8866;49002.5535;73338.0168;85073.8228;34980.3546;65882.7992;80620.3;47636.7081
pall;2016;39007.0654;70616.4801;71744.9518;10217.6678;70282.2344;23502.8376;67220.4496;35726.1636;19086.0858;24822.1939;44427.3119;80265.3896;25683.4984;5613.9416;64627.94;67580.5043;70124.0917;11080.6744;35972.0719;36185.0734;10465.8178;15446.4714;18176.0854;64176.7294;63246.096;53493.5019;49332.5887;9512.1608;40021.703;30732.5425;75782.2382;55492.1135;13258.8527;114369.6118;10900.3347;22080.903;14292.1029;38007.4512;40775.3822;130975.3286;42663.0071;79896.3484;161219.2888;21314.3073;50650.0057;73954.741;84273.7822;35086.7302;66255.5254;81227.5;48292.6622
pall;2017;39703.6882;70774.2517;71876.8415;10779.4695;71240.9436;23568.6695;69268.9372;34707.7225;20227.8491;24297.3943;47786.5234;81932.7763;26041.2661;5835.4895;66150.9816;68884.8483;71644.7238;11377.1775;36701.5923;37274.6733;10961.1775;15697.7894;18506.9492;67367.4732;65355.8454;54570.8838;50336.1514;9458.4823;41216.593;30660.9024;77133.5097;56065.834;12963.2833;116123.319;11293.8895;21952.7025;14951.5456;39882.2174;42108.6227;123713.1448;43554.0345;79931.8192;163067.9513;21278.3741;51917.9703;76021.5227;83749.8119;36646.5947;67852.5093;82582.8;49180.9162
pall;2018;37664.6492;71302.9213;73221.5155;11460.3405;71971.791;23469.7981;69987.8199;35135.7955;21329.3463;24002.8154;49592.4521;83231.6457;26409.8709;6059.2705;66752.9084;69449.1591;72411.939;11624.8838;37334.6003;39720.8276;11522.7101;16154.7593;17302.0163;70365.1831;67053.4136;55481.5201;50788.652;9694.9836;42343.1188;30477.3574;79269.8501;56975.6937;12854.8411;115445.4158;11518.2773;22353.9437;15555.0393;42325.7099;43087.8844;120515.0305;45483.6267;84830.6193;165482.2773;21033.4897;52987.6825;76618.8577;84951.2045;36472.848;68573.6934;84066.6;50069.2791
pall;2019;36305.1453;70571.5443;74050.3606;11857.2005;73278.3796;23511.3546;70321.5375;34623.1031;22411.8801;24160.8275;50832.8957;84200.7155;26795.9944;6242.1969;67055.6686;69881.1559;72886.151;12116.1609;38540.8163;41979.923;11762.0164;16488.8112;16435.9593;74543.1685;68319.6321;55560.9149;50146.9286;10037.4503;44149.039;29375.6958;77574.5701;58167.6469;13001.1018;116761.191;11335.2431;22595.8778;16247.8011;44612.2398;44067.3295;120372.6348;45977.1024;84042.7079;166481.0857;20677.8524;53162.7913;78180.6717;83755.446;36137.1328;69427.2091;85004.7;51641.4433
pall;2020;32289.7654;71637.5304;68307.5019;12258.3124;67777.7606;22306.5472;65652.4257;30639.5685;22380.6966;21945.7072;47618.7146;80937.8662;28156.5723;6360.4032;65701.7825;63745.1899;68923.9187;11962.9174;34684.8612;39786.1079;10948.4751;16239.0695;16673.6654;71541.0441;64278.0997;49970.6289;47513.5134;9704.2256;40486.0266;25896.2966;72800.521;57938.0215;12562.2545;112205.9251;11399.289;19730.8659;14093.9556;43542.8009;39700.4306;116862.4926;44996.8333;77735.8952;165545.6896;19067.9727;46162.5238;76218.8377;81685.4816;36494.7802;60281.3738;81264.0;50219.4959
pall;2021;36221.0902;73321.4909;71741.9513;12965.2086;73087.6117;23031.9744;68572.0665;34430.0801;24222.5619;23869.1432;49033.4773;87586.9994;29583.7593;6483.2846;68239.1156;68522.514;71668.0965;12258.6821;39275.4461;42289.7434;11385.7757;16559.0133;17394.3473;80758.1091;68798.2886;54550.8279;49340.8891;10226.9904;40639.8797;27379.5569;81560.2221;58834.3698;12543.1447;116726.6421;11902.7144;21116.3688;14582.6723;46658.9073;41883.1468;119446.2755;47918.4077;80411.3642;177268.6817;19879.1761;49552.7253;81642.7176;85630.061;40754.3393;67471.2357;85649.7;52411.9516
pall;2022;37919.554;72986.9527;73586.4964;13638.6024;75474.0729;23623.6804;69549.0494;34968.4899;24585.59;24628.0969;49585.0675;88022.2354;30773.8683;6594.3785;68810.1118;69944.7024;72564.143;12112.2619;41296.9083;44615.8892;12100.7616;17189.3158;17871.1959;85595.9946;73261.2511;56567.521;51151.7613;10497.6194;43378.1553;28557.8753;82020.7195;59925.5019;12512.4602;118142.1277;12125.7419;21607.5562;15567.6457;49088.513;44432.1238;119718.3971;47093.6218;84602.0239;178224.1368;19870.2478;52521.2363;83494.7745;88450.5885;42923.272;70573.3194;86767.3;54071.5597
pall;2023;36743.6435;73438.3666;72181.4015;14118.6183;75980.0662;24104.0069;69210.7568;34387.0887;25682.656;24205.6323;48517.6159;88433.4683;31246.333;6861.279;67094.428;70015.8566;72107.9534;11981.5559;42508.9907;43684.1665;12851.4513;17655.7016;18441.0502;90411.8078;73172.5893;57007.0928;52497.8823;10767.1243;45191.694;29318.755;80226.79;59346.9803;12467.3341;118750.4466;11799.5123;21063.4761;16699.3379;48248.9422;45078.8545;120268.0068;48808.9138;80414.3244;174851.2498;19660.912;53521.0071;82643.8169;88949.2566;44563.8356;69975.9195;88084.3;54502.5053
