Year,Country,PerAdultIncome,WealthInequality,IncomeInequality,WealthToIncomeRatio,GDP,Population,NetPersonalWealth,NationalIncome
1995,Argentina,72410.8213,0.6419,0.6419,3.355870485305786,3246941.8,35070020,0.6186,21577.3592
1996,Argentina,75215.2402,0.6419,0.6419,3.358286619186401,3383565.3,35513793,0.6186,22396.9085
1997,Argentina,79763.7347,0.6419,0.6419,3.330599546432495,3613854.8,35947791,0.6186,23948.7617
1998,Argentina,83478.5061,0.6419,0.6419,3.415269374847412,3709134.5,36372860,0.6187,24442.7282
1999,Argentina,80222.4259,0.6419,0.6419,3.471240758895874,3542473.8,36794682,0.6186,23110.5914
2000,Argentina,78538.8461,0.6419,0.6419,3.48086404800415,3474924.5,37213984,0.6186,22563.0329
2001,Argentina,73752.4921,0.6649,0.6649,3.491699695587158,3285456.3,37624825,0.6288,21122.2329
2002,Argentina,38726.1786,0.6711,0.6711,2.217896699905396,2896382.5,38029349,0.6354000000000001,17460.7682
2003,Argentina,49135.7583,0.6239,0.6239,2.574233770370483,3119933.8,38424282,0.6136,19087.5279
2004,Argentina,57029.2527,0.6074,0.6074,2.773689985275269,3367328.0,38815916,0.6031000000000001,20560.7884
2005,Argentina,74612.0089,0.5972000000000001,0.5972000000000001,3.301644086837769,3627925.5,39216789,0.5971000000000001,22598.4414
2006,Argentina,84853.9898,0.5839,0.5839,3.51187801361084,3879766.8,39622115,0.5942000000000001,24161.9976
2007,Argentina,91043.8136,0.5933,0.5933,3.46683406829834,4187543.5,40016763,0.6001000000000001,26261.3688
2008,Argentina,95722.0466,0.5929,0.5929,3.560554981231689,4313525.0,40424148,0.6004,26884.025
2009,Argentina,93952.3106,0.5740000000000001,0.5740000000000001,3.856239795684814,4015449.3,40854831,0.5917,24363.7112
2010,Argentina,101902.6336,0.5761000000000001,0.5761000000000001,3.832812309265137,4375568.0,41288694,0.5947,26586.9112
2011,Argentina,110736.2266,0.5602,0.5602,3.946430444717407,4589141.0,41730660,0.5911000000000001,28059.8449
2012,Argentina,117015.2221,0.5415,0.5415,4.272304534912109,4495601.0,42161721,0.5863,27389.2497
2013,Argentina,117733.666,0.5463,0.5463,4.236940860748291,4558252.0,42582455,0.5875,27787.4236
2014,Argentina,114335.3334,0.5555,0.5555,4.293646812438965,4398097.5,43024071,0.5877,26628.9571
2015,Argentina,107151.0747,0.5645,0.5645,3.949386119842529,4471153.5,43477012,0.5924,27131.0712
2016,Argentina,99673.1886,0.5734,0.5734,3.821924924850464,4335923.5,43900313,0.5995,26079.3154
2017,Argentina,105149.9242,0.5543,0.5543,3.961230278015137,4419011.0,44288894,0.5926,26544.7653
2018,Argentina,90326.6729,0.5605,0.5605,3.587002992630005,4268090.5,44654882,0.5937,25181.6553
2019,Argentina,83674.0199,0.5807,0.5807,3.447241544723511,4153059.5,44973465,0.6021000000000001,24272.7464
2020,Argentina,79867.3847,0.6001000000000001,0.6001000000000001,3.69951868057251,3723786.5,45191965,0.6017,21588.5889
2021,Argentina,98022.5131,0.5612,0.5612,4.047760009765625,4111962.5,45312281,0.5943,24216.4837
2022,Argentina,95319.9082,0.55,0.55,3.759875774383545,4306668.0,45407904,0.5931000000000001,25351.8772
2023,Argentina,85468.4127,0.55,0.55,3.479147911071777,4226943.0,45538401,0.5933,24565.9029
1995,Australia,165744.0626,0.4587,0.4587,4.907835960388184,62975.0,18095344,0.5748,33771.2863
1996,Australia,167104.6492,0.4566,0.4566,4.786798000335693,64626.2,18305307,0.5749000000000001,34909.483
1997,Australia,179060.831,0.455,0.455,4.950192928314209,66677.3,18504912,0.5747,36172.472
1998,Australia,188779.2321,0.4624,0.4624,5.032496452331543,69212.6,18701717,0.5749000000000001,37512.0229
1999,Australia,203234.7656,0.465,0.465,5.2405104637146,71526.6,18909981,0.5749000000000001,38781.5026
2000,Australia,214625.3077,0.468,0.468,5.430952548980713,72801.3,19132471,0.5753,39518.8858
2001,Australia,221725.0605,0.4611,0.4611,5.547300815582275,74040.8,19365433,0.5752,39969.9194
2002,Australia,233163.1695,0.4754,0.4754,5.680331230163574,75781.1,19595355,0.5759000000000001,41047.4729
2003,Australia,247780.8762,0.4706,0.4706,5.906773567199707,77669.1,19819454,0.5758,41948.5926
2004,Australia,268475.9296,0.4749,0.4749,6.267394542694092,79666.6,20046677,0.5766,42836.9205
2005,Australia,279248.764,0.4814000000000001,0.4814000000000001,6.453241348266602,81029.40000000001,20294490,0.5771000000000001,43272.6512
2006,Australia,292934.2714,0.4824,0.4824,6.683138847351074,82567.70000000001,20590559,0.5773,43831.8476
2007,Australia,310755.6909,0.4814000000000001,0.4814000000000001,6.971146583557129,84051.8,20954549,0.5777,44577.4271
2008,Australia,303015.4419,0.4879,0.4879,6.741151809692383,84614.6,21370589,0.5780000000000001,44950.0984
2009,Australia,281457.1233,0.4885,0.4885,6.32871675491333,84583.3,21783011,0.5797,44473.0071
2010,Australia,299172.512,0.4869,0.4869,6.681353092193604,85233.8,22141581,0.5789000000000001,44777.2179
2011,Australia,289671.0998,0.4869,0.4869,6.337889671325684,86708.3,22479775,0.5798,45704.6796
2012,Australia,278884.0522,0.4876,0.4876,6.030643463134766,87980.8,22852644,0.5802,46244.4986
2013,Australia,290552.5105,0.4879,0.4879,6.236470222473145,88763.6,23236270,0.5803,46589.2646
2014,Australia,312581.856,0.4883,0.4883,6.687961101531982,89498.8,23595601,0.5811000000000001,46737.9825
2015,Australia,340974.0923,0.4897,0.4897,7.277778625488281,90379.7,23948002,0.5794,46851.4042
2016,Australia,344053.2024,0.4829,0.4829,7.257532119750977,91248.5,24329963,0.5776,47406.384
2017,Australia,363446.9385,0.4876,0.4876,7.6495361328125,92110.2,24731038,0.5796,47512.2727
2018,Australia,362461.5816,0.4798,0.4798,7.572235107421875,92991.9,25119706,0.5806,47867.1774
2019,Australia,353256.7524,0.4824,0.4824,7.456412792205811,92482.3,25482714,0.5800000000000001,47376.2519
