country,variable,percentile,year,value,age,pop,country_code,country_name
BR,aptincj992,p0p100,1820,5299.6,992,j,BR,Brazil
BR,aptincj992,p0p100,1850,5273.400000000001,992,j,BR,Brazil
BR,aptincj992,p0p100,1880,6775.8,992,j,BR,Brazil
BR,aptincj992,p0p100,1900,6938.3,992,j,BR,Brazil
BR,aptincj992,p0p100,1910,8188.700000000001,992,j,BR,Brazil
BR,aptincj992,p0p100,1920,9762.8,992,j,BR,Brazil
BR,aptincj992,p0p100,1930,10525.6,992,j,BR,Brazil
BR,aptincj992,p0p100,1940,11574.1,992,j,BR,Brazil
BR,aptincj992,p0p100,1950,20250.9,992,j,BR,Brazil
BR,aptincj992,p0p100,1960,28257.9,992,j,BR,Brazil
BR,aptincj992,p0p100,1970,37372.4,992,j,BR,Brazil
BR,aptincj992,p0p100,1980,61048.8,992,j,BR,Brazil
BR,aptincj992,p0p100,1981,55730.3,992,j,BR,Brazil
BR,aptincj992,p0p100,1982,53751.7,992,j,BR,Brazil
BR,aptincj992,p0p100,1983,49750.7,992,j,BR,Brazil
BR,aptincj992,p0p100,1984,51032.9,992,j,BR,Brazil
BR,aptincj992,p0p100,1985,54084.9,992,j,BR,Brazil
BR,aptincj992,p0p100,1986,57299.7,992,j,BR,Brazil
BR,aptincj992,p0p100,1987,58215.7,992,j,BR,Brazil
BR,aptincj992,p0p100,1988,56298.9,992,j,BR,Brazil
BR,aptincj992,p0p100,1989,57387.7,992,j,BR,Brazil
BR,aptincj992,p0p100,1990,53499.9,992,j,BR,Brazil
BR,aptincj992,p0p100,1991,52936.7,992,j,BR,Brazil
BR,aptincj992,p0p100,1992,51148.9,992,j,BR,Brazil
BR,aptincj992,p0p100,1993,52129.3,992,j,BR,Brazil
BR,aptincj992,p0p100,1994,54561.8,992,j,BR,Brazil
BR,aptincj992,p0p100,1995,55672.3,992,j,BR,Brazil
BR,aptincj992,p0p100,1996,55389.4,992,j,BR,Brazil
BR,aptincj992,p0p100,1997,55739.9,992,j,BR,Brazil
