country,variable,percentile,year,value,age,pop,country_code,country_name
BR,bhwealj992,p0p100,1995,-0.52,992,j,BR,Brazil
BR,bhwealj992,p0p100,1996,-0.5199,992,j,BR,Brazil
BR,bhwealj992,p0p100,1997,-0.5198,992,j,BR,Brazil
BR,bhwealj992,p0p100,1998,-0.5202,992,j,BR,Brazil
BR,bhwealj992,p0p100,1999,-0.5201,992,j,BR,Brazil
BR,bhwealj992,p0p100,2000,-0.5197,992,j,BR,Brazil
BR,bhwealj992,p0p100,2001,-0.5196000000000001,992,j,BR,Brazil
BR,bhwealj992,p0p100,2002,-0.5032,992,j,BR,Brazil
BR,bhwealj992,p0p100,2003,-0.5125000000000001,992,j,BR,Brazil
BR,bhwealj992,p0p100,2004,-0.5304,992,j,BR,Brazil
BR,bhwealj992,p0p100,2005,-0.4927,992,j,BR,Brazil
BR,bhwealj992,p0p100,2006,-0.493,992,j,BR,Brazil
BR,bhwealj992,p0p100,2007,-0.5191,992,j,BR,Brazil
BR,bhwealj992,p0p100,2008,-0.5116,992,j,BR,Brazil
BR,bhwealj992,p0p100,2009,-0.5176000000000001,992,j,BR,Brazil
BR,bhwealj992,p0p100,2010,-0.5057,992,j,BR,Brazil
BR,bhwealj992,p0p100,2011,-0.4926,992,j,BR,Brazil
BR,bhwealj992,p0p100,2012,-0.5074000000000001,992,j,BR,Brazil
BR,bhwealj992,p0p100,2013,-0.5222,992,j,BR,Brazil
BR,bhwealj992,p0p100,2014,-0.5179,992,j,BR,Brazil
BR,bhwealj992,p0p100,2015,-0.4976,992,j,BR,Brazil
BR,bhwealj992,p0p100,2016,-0.5136000000000001,992,j,BR,Brazil
BR,bhwealj992,p0p100,2017,-0.5218,992,j,BR,Brazil
BR,bhwealj992,p0p100,2018,-0.5273,992,j,BR,Brazil
BR,bhwealj992,p0p100,2019,-0.5494,992,j,BR,Brazil
BR,bhwealj992,p0p100,2020,-0.5009,992,j,BR,Brazil
BR,bhwealj992,p0p100,2021,-0.518,992,j,BR,Brazil
BR,bhwealj992,p0p100,2022,-0.5132,992,j,BR,Brazil
BR,bhwealj992,p0p100,2023,-0.51,992,j,BR,Brazil
CN,bhwealj992,p0p100,1978,-2.7037,992,j,CN,China
CN,bhwealj992,p0p100,1979,-2.7036,992,j,CN,China
CN,bhwealj992,p0p100,1980,-2.7037,992,j,CN,China
CN,bhwealj992,p0p100,1981,-2.7037,992,j,CN,China
CN,bhwealj992,p0p100,1982,-2.7037,992,j,CN,China
CN,bhwealj992,p0p100,1983,-2.7037,992,j,CN,China
CN,bhwealj992,p0p100,1984,-2.7037,992,j,CN,China
CN,bhwealj992,p0p100,1985,-2.7039,992,j,CN,China
CN,bhwealj992,p0p100,1986,-2.7037,992,j,CN,China
CN,bhwealj992,p0p100,1987,-2.7038,992,j,CN,China
CN,bhwealj992,p0p100,1988,-2.7036,992,j,CN,China
CN,bhwealj992,p0p100,1989,-2.7036,992,j,CN,China
CN,bhwealj992,p0p100,1990,-2.7037,992,j,CN,China
CN,bhwealj992,p0p100,1991,-2.7038,992,j,CN,China
CN,bhwealj992,p0p100,1992,-2.7037,992,j,CN,China
CN,bhwealj992,p0p100,1993,-2.7037,992,j,CN,China
CN,bhwealj992,p0p100,1994,-2.7036,992,j,CN,China
CN,bhwealj992,p0p100,1995,-2.7082,992,j,CN,China
CN,bhwealj992,p0p100,1996,-2.048,992,j,CN,China
CN,bhwealj992,p0p100,1997,-1.734,992,j,CN,China
CN,bhwealj992,p0p100,1998,-1.5499,992,j,CN,China
CN,bhwealj992,p0p100,1999,-1.4288,992,j,CN,China
CN,bhwealj992,p0p100,2000,-1.3431,992,j,CN,China
CN,bhwealj992,p0p100,2001,-1.2793,992,j,CN,China
CN,bhwealj992,p0p100,2002,-1.2301,992,j,CN,China
CN,bhwealj992,p0p100,2003,-1.2302,992,j,CN,China
CN,bhwealj992,p0p100,2004,-1.2698,992,j,CN,China
CN,bhwealj992,p0p100,2005,-1.3145,992,j,CN,China
CN,bhwealj992,p0p100,2006,-1.3613,992,j,CN,China
CN,bhwealj992,p0p100,2007,-1.4194,992,j,CN,China
CN,bhwealj992,p0p100,2008,-1.4555,992,j,CN,China
CN,bhwealj992,p0p100,2009,-1.5003,992,j,CN,China
CN,bhwealj992,p0p100,2010,-2.041,992,j,CN,China
CN,bhwealj992,p0p100,2011,-1.8106,992,j,CN,China
CN,bhwealj992,p0p100,2012,-1.7983,992,j,CN,China
CN,bhwealj992,p0p100,2013,-1.7992,992,j,CN,China
CN,bhwealj992,p0p100,2014,-1.8088,992,j,CN,China
CN,bhwealj992,p0p100,2015,-1.8459,992,j,CN,China
CN,bhwealj992,p0p100,2016,-1.846,992,j,CN,China
CN,bhwealj992,p0p100,2017,-1.8452,992,j,CN,China
CN,bhwealj992,p0p100,2018,-1.8457,992,j,CN,China
CN,bhwealj992,p0p100,2019,-1.846,992,j,CN,China
CN,bhwealj992,p0p100,2020,-1.8447,992,j,CN,China
CN,bhwealj992,p0p100,2021,-1.8494,992,j,CN,China
CN,bhwealj992,p0p100,2022,-1.8436,992,j,CN,China
CN,bhwealj992,p0p100,2023,-1.8436,992,j,CN,China
EG,bhwealj992,p0p100,1995,-0.8625,992,j,EG,Egypt
EG,bhwealj992,p0p100,1996,-0.8500000000000001,992,j,EG,Egypt
EG,bhwealj992,p0p100,1997,-0.8211,992,j,EG,Egypt
EG,bhwealj992,p0p100,1998,-0.7961,992,j,EG,Egypt
EG,bhwealj992,p0p100,1999,-0.7675000000000001,992,j,EG,Egypt
EG,bhwealj992,p0p100,2000,-0.7722,992,j,EG,Egypt
EG,bhwealj992,p0p100,2001,-0.7793,992,j,EG,Egypt
EG,bhwealj992,p0p100,2002,-0.786,992,j,EG,Egypt
EG,bhwealj992,p0p100,2003,-0.793,992,j,EG,Egypt
EG,bhwealj992,p0p100,2004,-0.7983,992,j,EG,Egypt
EG,bhwealj992,p0p100,2005,-0.8007000000000001,992,j,EG,Egypt
EG,bhwealj992,p0p100,2006,-0.8012,992,j,EG,Egypt
EG,bhwealj992,p0p100,2007,-0.8117000000000001,992,j,EG,Egypt
EG,bhwealj992,p0p100,2008,-0.8298000000000001,992,j,EG,Egypt
EG,bhwealj992,p0p100,2009,-0.8181,992,j,EG,Egypt
EG,bhwealj992,p0p100,2010,-0.8386,992,j,EG,Egypt
EG,bhwealj992,p0p100,2011,-0.8395,992,j,EG,Egypt
EG,bhwealj992,p0p100,2012,-0.8286,992,j,EG,Egypt
EG,bhwealj992,p0p100,2013,-0.8190000000000001,992,j,EG,Egypt
EG,bhwealj992,p0p100,2014,-0.8082,992,j,EG,Egypt
EG,bhwealj992,p0p100,2015,-0.7898000000000001,992,j,EG,Egypt
EG,bhwealj992,p0p100,2016,-0.801,992,j,EG,Egypt
EG,bhwealj992,p0p100,2017,-0.8283,992,j,EG,Egypt
EG,bhwealj992,p0p100,2018,-0.8248000000000001,992,j,EG,Egypt
EG,bhwealj992,p0p100,2019,-0.8169000000000001,992,j,EG,Egypt
EG,bhwealj992,p0p100,2020,-0.8303,992,j,EG,Egypt
EG,bhwealj992,p0p100,2021,-0.8298000000000001,992,j,EG,Egypt
EG,bhwealj992,p0p100,2022,-0.8302,992,j,EG,Egypt
EG,bhwealj992,p0p100,2023,-0.8395,992,j,EG,Egypt
FR,bhwealj992,p0p100,2017,-41486.19921875,992,j,FR,France
DE,bhwealj992,p0p100,1993,-0.8468,992,j,DE,Germany
DE,bhwealj992,p0p100,1995,-1.0042,992,j,DE,Germany
DE,bhwealj992,p0p100,1996,-1.0067,992,j,DE,Germany
DE,bhwealj992,p0p100,1997,-1.001,992,j,DE,Germany
DE,bhwealj992,p0p100,1998,-0.9958,992,j,DE,Germany
DE,bhwealj992,p0p100,1999,-0.9111,992,j,DE,Germany
DE,bhwealj992,p0p100,2000,-0.8232,992,j,DE,Germany
DE,bhwealj992,p0p100,2001,-0.7488,992,j,DE,Germany
DE,bhwealj992,p0p100,2002,-0.6893,992,j,DE,Germany
DE,bhwealj992,p0p100,2003,-0.6388,992,j,DE,Germany
DE,bhwealj992,p0p100,2004,-0.687,992,j,DE,Germany
DE,bhwealj992,p0p100,2005,-0.7361000000000001,992,j,DE,Germany
DE,bhwealj992,p0p100,2006,-0.7898000000000001,992,j,DE,Germany
DE,bhwealj992,p0p100,2007,-0.8534,992,j,DE,Germany
DE,bhwealj992,p0p100,2008,-0.9263,992,j,DE,Germany
DE,bhwealj992,p0p100,2009,-0.9855,992,j,DE,Germany
DE,bhwealj992,p0p100,2010,-1.0676,992,j,DE,Germany
DE,bhwealj992,p0p100,2011,-1.1648,992,j,DE,Germany
DE,bhwealj992,p0p100,2012,-1.2763,992,j,DE,Germany
DE,bhwealj992,p0p100,2013,-1.4185,992,j,DE,Germany
DE,bhwealj992,p0p100,2014,-1.6424,992,j,DE,Germany
DE,bhwealj992,p0p100,2015,-1.9318,992,j,DE,Germany
DE,bhwealj992,p0p100,2016,-2.3432,992,j,DE,Germany
DE,bhwealj992,p0p100,2017,-2.9658,992,j,DE,Germany
DE,bhwealj992,p0p100,2018,-4.079000000000001,992,j,DE,Germany
DE,bhwealj992,p0p100,2019,-4.0507,992,j,DE,Germany
DE,bhwealj992,p0p100,2020,-4.0266,992,j,DE,Germany
DE,bhwealj992,p0p100,2021,-4.051,992,j,DE,Germany
