country_code,country_name,a_ptincj992_p99p100_value,a_ptincj992_p99p100_year,s_ptincj992_p99p100_value,s_ptincj992_p99p100_year,a_ptincj992_p90p100_value,a_ptincj992_p90p100_year,s_ptincj992_p90p100_value,s_ptincj992_p90p100_year,a_ptincj992_p0p50_value,a_ptincj992_p0p50_year,s_ptincj992_p0p50_value,s_ptincj992_p0p50_year,shwealj992_p99p100_value,shwealj992_p99p100_year,bhwealj992_p99p100_value,bhwealj992_p99p100_year,ahwealj992_p99p100_value,ahwealj992_p99p100_year,shwealj992_p90p100_value,shwealj992_p90p100_year,bhwealj992_p90p100_value,bhwealj992_p90p100_year,ahwealj992_p90p100_value,ahwealj992_p90p100_year,shwealj992_p0p50_value,shwealj992_p0p50_year,ahwealj992_p0p50_value,ahwealj992_p0p50_year,adiincf992_per_adult_value,adiincf992_per_adult_year,region,region2
US,USA,1476559.5,2020.0,0.1817,2020.0,362489.4,2020.0,0.4461,2020.0,11186.1,2020.0,0.137,2020.0,0.3513,2020.0,3.6327,2020.0,16870340.0,2020.0,0.7103,2020.0,3.4802,2020.0,3411283.3,2020.0,0.0036,2020.0,1774.4,2020.0,74683.9193055616,2019.0,North America,North America
FR,France,473660.1,2020.0,0.1108,2020.0,143973.6,2020.0,0.3369,2020.0,8900.6,2020.0,0.2072,2020.0,0.2585,2020.0,3.0009,2020.0,7054291.5,2020.0,0.5879,2020.0,2.8473,2020.0,1604352.8,2020.0,0.0499,2020.0,13424.8,2020.0,,,Western Europe,Western Europe
DE,Germany,619833.9,2020.0,0.1266,2020.0,179598.7,2020.0,0.3669,2020.0,9809.8,2020.0,0.1994,2020.0,0.2753,2020.0,3.4484,2020.0,8355627.0,2020.0,0.5831000000000001,2020.0,2.7801,2020.0,1769980.8,2020.0,0.0345,2020.0,10378.6,2020.0,,,Western Europe,Western Europe
GB,United Kingdom,517222.2,2020.0,0.131,2020.0,142977.0,2020.0,0.362,2020.0,7957.3,2020.0,0.2005,2020.0,0.2103,2020.0,1.9833,2020.0,5044251.5,2020.0,0.5700000000000001,2020.0,2.4667,2020.0,1367306.5,2020.0,0.0466,2020.0,11265.1,2020.0,,,Western Europe,Western Europe
JP,Japan,55362680.0,2020.0,0.1259,2020.0,19042024.0,2020.0,0.4331,2020.0,819929.8,2020.0,0.1856,2020.0,0.2475,2020.0,2.7797,2020.0,658906048.0,2020.0,0.5934,2020.0,2.7291,2020.0,157969184.0,2020.0,0.0401,2020.0,1074711.1,2020.0,,,East Asia,East Asia
BR,Brazil,1197735.4,2020.0,0.2209,2020.0,324094.8,2020.0,0.5978,2020.0,4499.0,2020.0,0.0826,2020.0,0.37,2020.0,3.991,2020.0,7403241.0,2020.0,0.6996,2020.0,3.7516,2020.0,1399682.0,2020.0,0.0231,2020.0,4649.0,2020.0,,,Latin America,South America
CN,China,1261829.9,2020.0,0.1552,2020.0,350312.3,2020.0,0.4308,2020.0,11450.4,2020.0,0.1401,2020.0,0.3012,2020.0,3.0588,2020.0,15033880.0,2020.0,0.6778000000000001,2020.0,4.4828,2020.0,3382626.0,2020.0,0.064,2020.0,31635.6,2020.0,,,East Asia,East Asia
RU,Russian Federation,28093150.0,2020.0,0.2376,2020.0,6002763.5,2020.0,0.5077,2020.0,186366.8,2020.0,0.1568,2020.0,0.4836,2020.0,6.2736,2020.0,207872864.0,2020.0,0.7531,2020.0,5.6245,2020.0,32369022.0,2020.0,0.0299,2020.0,127879.7,2020.0,,,Eastern Europe,West Asia
ZA,South Africa,2667088.5,2020.0,0.1921,2020.0,903468.3,2020.0,0.6508,2020.0,8745.1,2020.0,0.0627,2020.0,0.5474,2020.0,5.2572,2020.0,26285476.0,2020.0,0.8557,2020.0,5.607200000000001,2020.0,4109010.8,2020.0,-0.0246,2020.0,-12326.3,2020.0,,,Africa,South Africa
IN,India,4854607.5,2020.0,0.2153,2020.0,1280692.5,2020.0,0.5680000000000001,2020.0,35207.7,2020.0,0.1554,2020.0,0.3525,2020.0,5.8193,2020.0,40388912.0,2020.0,0.6215,2020.0,3.5203,2020.0,7122205.5,2020.0,0.0694,2020.0,79956.20000000001,2020.0,,,South Asia,South Asia
ID,Indonesia,1378195200.0,2020.0,0.176,2020.0,361837344.0,2020.0,0.4621,2020.0,10745643.0,2020.0,0.1366,2020.0,0.1849,2020.0,1.9996,2020.0,6237911552.0,2020.0,0.5868,2020.0,2.3508,2020.0,1979894400.0,2020.0,0.0268,2020.0,9088452.0,2020.0,,,Southeast Asia,South-East Asia
NG,Nigeria,23781628.0,2020.0,0.1142,2020.0,8770936.0,2020.0,0.4211,2020.0,349252.4,2020.0,0.1669,2020.0,0.2506,2020.0,2.8379,2020.0,170776208.0,2020.0,0.5943,2020.0,2.7437,2020.0,40497120.0,2020.0,0.04,2020.0,273803.9,2020.0,,,Africa,West Africa
EG,Egypt,2494911.3,2020.0,0.185,2020.0,645165.4,2020.0,0.4784,2020.0,24378.5,2020.0,0.1799,2020.0,0.28,2020.0,3.1279,2020.0,9049859.0,2020.0,0.6205,2020.0,2.9856,2020.0,2005059.1,2020.0,0.0373,2020.0,12113.4,2020.0,,,Middle East & North Africa,North Africa
