country,variable,percentile,year,value,age,pop,country_code,country_name
BR,gptincj992,p0p100,1980,0.6857000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,1981,0.6857000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,1982,0.6857000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,1983,0.6857000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,1984,0.6857000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,1985,0.6857000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,1986,0.6857000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,1987,0.6857000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,1988,0.6857000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,1989,0.6857000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,1990,0.6857000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,1991,0.6857000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,1992,0.6857000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,1993,0.6857000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,1994,0.6857000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,1995,0.6857000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,1996,0.6857000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,1997,0.6857000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,1998,0.6857000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,1999,0.6857000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,2000,0.6857000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,2001,0.6857000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,2002,0.6917,992,j,BR,Brazil
BR,gptincj992,p0p100,2003,0.6861,992,j,BR,Brazil
BR,gptincj992,p0p100,2004,0.6786,992,j,BR,Brazil
BR,gptincj992,p0p100,2005,0.6936,992,j,BR,Brazil
BR,gptincj992,p0p100,2006,0.6923,992,j,BR,Brazil
BR,gptincj992,p0p100,2007,0.6789000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,2008,0.6795,992,j,BR,Brazil
BR,gptincj992,p0p100,2009,0.6765,992,j,BR,Brazil
BR,gptincj992,p0p100,2010,0.681,992,j,BR,Brazil
BR,gptincj992,p0p100,2011,0.6855,992,j,BR,Brazil
BR,gptincj992,p0p100,2012,0.6782,992,j,BR,Brazil
BR,gptincj992,p0p100,2013,0.6709,992,j,BR,Brazil
BR,gptincj992,p0p100,2014,0.6732,992,j,BR,Brazil
BR,gptincj992,p0p100,2015,0.6817000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,2016,0.6848000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,2017,0.6822,992,j,BR,Brazil
BR,gptincj992,p0p100,2018,0.681,992,j,BR,Brazil
BR,gptincj992,p0p100,2019,0.6722,992,j,BR,Brazil
BR,gptincj992,p0p100,2020,0.7018,992,j,BR,Brazil
BR,gptincj992,p0p100,2021,0.6985,992,j,BR,Brazil
BR,gptincj992,p0p100,2022,0.6918000000000001,992,j,BR,Brazil
BR,gptincj992,p0p100,2023,0.6918000000000001,992,j,BR,Brazil
CN,gptincj992,p0p100,1978,0.3799,992,j,CN,China
CN,gptincj992,p0p100,1979,0.3806,992,j,CN,China
CN,gptincj992,p0p100,1980,0.3822,992,j,CN,China
CN,gptincj992,p0p100,1981,0.387,992,j,CN,China
CN,gptincj992,p0p100,1982,0.3942,992,j,CN,China
CN,gptincj992,p0p100,1983,0.3919,992,j,CN,China
CN,gptincj992,p0p100,1984,0.3969,992,j,CN,China
CN,gptincj992,p0p100,1985,0.4045,992,j,CN,China
CN,gptincj992,p0p100,1986,0.4193,992,j,CN,China
CN,gptincj992,p0p100,1987,0.4232,992,j,CN,China
