country,variable,percentile,year,value,age,pop,country_code,country_name
BR,sptincj992,p90p100,1820,0.5816,992,j,BR,Brazil
BR,sptincj992,p90p100,1850,0.5878,992,j,BR,Brazil
BR,sptincj992,p90p100,1880,0.5939,992,j,BR,Brazil
BR,sptincj992,p90p100,1900,0.6,992,j,BR,Brazil
BR,sptincj992,p90p100,1910,0.6123000000000001,992,j,BR,Brazil
BR,sptincj992,p90p100,1920,0.6123000000000001,992,j,BR,Brazil
BR,sptincj992,p90p100,1930,0.6282,992,j,BR,Brazil
BR,sptincj992,p90p100,1940,0.6494,992,j,BR,Brazil
BR,sptincj992,p90p100,1950,0.6282,992,j,BR,Brazil
BR,sptincj992,p90p100,1960,0.6016,992,j,BR,Brazil
BR,sptincj992,p90p100,1970,0.6176,992,j,BR,Brazil
BR,sptincj992,p90p100,1980,0.5859,992,j,BR,Brazil
BR,sptincj992,p90p100,1981,0.5859,992,j,BR,Brazil
BR,sptincj992,p90p100,1982,0.5859,992,j,BR,Brazil
BR,sptincj992,p90p100,1983,0.5859,992,j,BR,Brazil
BR,sptincj992,p90p100,1984,0.5859,992,j,BR,Brazil
BR,sptincj992,p90p100,1985,0.5859,992,j,BR,Brazil
BR,sptincj992,p90p100,1986,0.5859,992,j,BR,Brazil
BR,sptincj992,p90p100,1987,0.5859,992,j,BR,Brazil
BR,sptincj992,p90p100,1988,0.5859,992,j,BR,Brazil
BR,sptincj992,p90p100,1989,0.5859,992,j,BR,Brazil
BR,sptincj992,p90p100,1990,0.5859,992,j,BR,Brazil
BR,sptincj992,p90p100,1991,0.5859,992,j,BR,Brazil
BR,sptincj992,p90p100,1992,0.5859,992,j,BR,Brazil
BR,sptincj992,p90p100,1993,0.5859,992,j,BR,Brazil
BR,sptincj992,p90p100,1994,0.5859,992,j,BR,Brazil
BR,sptincj992,p90p100,1995,0.5859,992,j,BR,Brazil
BR,sptincj992,p90p100,1996,0.5859,992,j,BR,Brazil
BR,sptincj992,p90p100,1997,0.5859,992,j,BR,Brazil
BR,sptincj992,p90p100,1998,0.5859,992,j,BR,Brazil
BR,sptincj992,p90p100,1999,0.5859,992,j,BR,Brazil
BR,sptincj992,p90p100,2000,0.5859,992,j,BR,Brazil
BR,sptincj992,p90p100,2001,0.5859,992,j,BR,Brazil
BR,sptincj992,p90p100,2002,0.5957,992,j,BR,Brazil
BR,sptincj992,p90p100,2003,0.5900000000000001,992,j,BR,Brazil
BR,sptincj992,p90p100,2004,0.5798,992,j,BR,Brazil
BR,sptincj992,p90p100,2005,0.6024,992,j,BR,Brazil
BR,sptincj992,p90p100,2006,0.6023000000000001,992,j,BR,Brazil
BR,sptincj992,p90p100,2007,0.5864,992,j,BR,Brazil
BR,sptincj992,p90p100,2008,0.5909,992,j,BR,Brazil
BR,sptincj992,p90p100,2009,0.5871000000000001,992,j,BR,Brazil
BR,sptincj992,p90p100,2010,0.5948,992,j,BR,Brazil
BR,sptincj992,p90p100,2011,0.6026,992,j,BR,Brazil
BR,sptincj992,p90p100,2012,0.5939,992,j,BR,Brazil
BR,sptincj992,p90p100,2013,0.5840000000000001,992,j,BR,Brazil
BR,sptincj992,p90p100,2014,0.5870000000000001,992,j,BR,Brazil
BR,sptincj992,p90p100,2015,0.599,992,j,BR,Brazil
BR,sptincj992,p90p100,2016,0.5896,992,j,BR,Brazil
BR,sptincj992,p90p100,2017,0.5842,992,j,BR,Brazil
BR,sptincj992,p90p100,2018,0.5809000000000001,992,j,BR,Brazil
BR,sptincj992,p90p100,2019,0.5706,992,j,BR,Brazil
BR,sptincj992,p90p100,2020,0.5978,992,j,BR,Brazil
BR,sptincj992,p90p100,2021,0.5929,992,j,BR,Brazil
BR,sptincj992,p90p100,2022,0.5921000000000001,992,j,BR,Brazil
BR,sptincj992,p90p100,2023,0.5921000000000001,992,j,BR,Brazil
CN,sptincj992,p90p100,1820,0.4603,992,j,CN,China
CN,sptincj992,p90p100,1850,0.4727,992,j,CN,China
CN,sptincj992,p90p100,1880,0.5004000000000001,992,j,CN,China
CN,sptincj992,p90p100,1900,0.5032,992,j,CN,China
CN,sptincj992,p90p100,1910,0.6107,992,j,CN,China
CN,sptincj992,p90p100,1920,0.5503,992,j,CN,China
CN,sptincj992,p90p100,1930,0.5277000000000001,992,j,CN,China
CN,sptincj992,p90p100,1940,0.4832,992,j,CN,China
CN,sptincj992,p90p100,1950,0.267,992,j,CN,China
CN,sptincj992,p90p100,1960,0.267,992,j,CN,China
CN,sptincj992,p90p100,1970,0.267,992,j,CN,China
CN,sptincj992,p90p100,1978,0.2781,992,j,CN,China
CN,sptincj992,p90p100,1979,0.2781,992,j,CN,China
CN,sptincj992,p90p100,1980,0.2789,992,j,CN,China
CN,sptincj992,p90p100,1981,0.2831,992,j,CN,China
CN,sptincj992,p90p100,1982,0.2871,992,j,CN,China
CN,sptincj992,p90p100,1983,0.288,992,j,CN,China
CN,sptincj992,p90p100,1984,0.2928,992,j,CN,China
CN,sptincj992,p90p100,1985,0.3014,992,j,CN,China
CN,sptincj992,p90p100,1986,0.3039,992,j,CN,China
CN,sptincj992,p90p100,1987,0.3022,992,j,CN,China
CN,sptincj992,p90p100,1988,0.3056,992,j,CN,China
CN,sptincj992,p90p100,1989,0.3111,992,j,CN,China
CN,sptincj992,p90p100,1990,0.3085,992,j,CN,China
CN,sptincj992,p90p100,1991,0.3151,992,j,CN,China
CN,sptincj992,p90p100,1992,0.3271,992,j,CN,China
CN,sptincj992,p90p100,1993,0.3391,992,j,CN,China
CN,sptincj992,p90p100,1994,0.3433,992,j,CN,China
CN,sptincj992,p90p100,1995,0.339,992,j,CN,China
CN,sptincj992,p90p100,1996,0.339,992,j,CN,China
CN,sptincj992,p90p100,1997,0.3391,992,j,CN,China
CN,sptincj992,p90p100,1998,0.3425,992,j,CN,China
CN,sptincj992,p90p100,1999,0.3479,992,j,CN,China
CN,sptincj992,p90p100,2000,0.3587,992,j,CN,China
CN,sptincj992,p90p100,2001,0.3662,992,j,CN,China
CN,sptincj992,p90p100,2002,0.3968,992,j,CN,China
CN,sptincj992,p90p100,2003,0.4051,992,j,CN,China
CN,sptincj992,p90p100,2004,0.4121,992,j,CN,China
CN,sptincj992,p90p100,2005,0.4216,992,j,CN,China
CN,sptincj992,p90p100,2006,0.4237,992,j,CN,China
CN,sptincj992,p90p100,2007,0.4269,992,j,CN,China
CN,sptincj992,p90p100,2008,0.4269,992,j,CN,China
CN,sptincj992,p90p100,2009,0.4263,992,j,CN,China
CN,sptincj992,p90p100,2010,0.4283,992,j,CN,China
CN,sptincj992,p90p100,2011,0.4311,992,j,CN,China
CN,sptincj992,p90p100,2012,0.4169,992,j,CN,China
CN,sptincj992,p90p100,2013,0.4235,992,j,CN,China
CN,sptincj992,p90p100,2014,0.4155,992,j,CN,China
CN,sptincj992,p90p100,2015,0.4166,992,j,CN,China
CN,sptincj992,p90p100,2016,0.4168,992,j,CN,China
CN,sptincj992,p90p100,2017,0.4271,992,j,CN,China
CN,sptincj992,p90p100,2018,0.4241,992,j,CN,China
CN,sptincj992,p90p100,2019,0.4224,992,j,CN,China
CN,sptincj992,p90p100,2020,0.4308,992,j,CN,China
CN,sptincj992,p90p100,2021,0.4323,992,j,CN,China
CN,sptincj992,p90p100,2022,0.4334,992,j,CN,China
CN,sptincj992,p90p100,2023,0.4334,992,j,CN,China
EG,sptincj992,p90p100,1820,0.5342,992,j,EG,Egypt
EG,sptincj992,p90p100,1850,0.5463,992,j,EG,Egypt
EG,sptincj992,p90p100,1880,0.5584,992,j,EG,Egypt
EG,sptincj992,p90p100,1900,0.5766,992,j,EG,Egypt
EG,sptincj992,p90p100,1910,0.607,992,j,EG,Egypt
EG,sptincj992,p90p100,1920,0.607,992,j,EG,Egypt
EG,sptincj992,p90p100,1930,0.607,992,j,EG,Egypt
EG,sptincj992,p90p100,1940,0.607,992,j,EG,Egypt
EG,sptincj992,p90p100,1950,0.607,992,j,EG,Egypt
EG,sptincj992,p90p100,1960,0.5690000000000001,992,j,EG,Egypt
EG,sptincj992,p90p100,1970,0.531,992,j,EG,Egypt
EG,sptincj992,p90p100,1980,0.4574,992,j,EG,Egypt
EG,sptincj992,p90p100,1981,0.4574,992,j,EG,Egypt
EG,sptincj992,p90p100,1982,0.4574,992,j,EG,Egypt
EG,sptincj992,p90p100,1983,0.4574,992,j,EG,Egypt
EG,sptincj992,p90p100,1984,0.4574,992,j,EG,Egypt
EG,sptincj992,p90p100,1985,0.4574,992,j,EG,Egypt
EG,sptincj992,p90p100,1986,0.4574,992,j,EG,Egypt
EG,sptincj992,p90p100,1987,0.4574,992,j,EG,Egypt
EG,sptincj992,p90p100,1988,0.4574,992,j,EG,Egypt
EG,sptincj992,p90p100,1989,0.4574,992,j,EG,Egypt
EG,sptincj992,p90p100,1990,0.4574,992,j,EG,Egypt
EG,sptincj992,p90p100,1991,0.4562,992,j,EG,Egypt
EG,sptincj992,p90p100,1992,0.455,992,j,EG,Egypt
EG,sptincj992,p90p100,1993,0.4539,992,j,EG,Egypt
EG,sptincj992,p90p100,1994,0.4528,992,j,EG,Egypt
EG,sptincj992,p90p100,1995,0.4517,992,j,EG,Egypt
EG,sptincj992,p90p100,1996,0.4659,992,j,EG,Egypt
EG,sptincj992,p90p100,1997,0.4793,992,j,EG,Egypt
EG,sptincj992,p90p100,1998,0.4921,992,j,EG,Egypt
EG,sptincj992,p90p100,1999,0.5042,992,j,EG,Egypt
EG,sptincj992,p90p100,2000,0.5018,992,j,EG,Egypt
EG,sptincj992,p90p100,2001,0.4995,992,j,EG,Egypt
EG,sptincj992,p90p100,2002,0.4972,992,j,EG,Egypt
EG,sptincj992,p90p100,2003,0.4949,992,j,EG,Egypt
EG,sptincj992,p90p100,2004,0.4926,992,j,EG,Egypt
EG,sptincj992,p90p100,2005,0.4923,992,j,EG,Egypt
EG,sptincj992,p90p100,2006,0.492,992,j,EG,Egypt
EG,sptincj992,p90p100,2007,0.4916,992,j,EG,Egypt
EG,sptincj992,p90p100,2008,0.4914,992,j,EG,Egypt
EG,sptincj992,p90p100,2009,0.4821,992,j,EG,Egypt
EG,sptincj992,p90p100,2010,0.473,992,j,EG,Egypt
EG,sptincj992,p90p100,2011,0.4767,992,j,EG,Egypt
EG,sptincj992,p90p100,2012,0.4804,992,j,EG,Egypt
EG,sptincj992,p90p100,2013,0.4865,992,j,EG,Egypt
EG,sptincj992,p90p100,2014,0.4925,992,j,EG,Egypt
EG,sptincj992,p90p100,2015,0.4984,992,j,EG,Egypt
