country,variable,percentile,year,value,age,pop,country_code,country_name
BR,shwealj992,p99p100,1995,0.3636,992,j,BR,Brazil
BR,shwealj992,p99p100,1996,0.3636,992,j,BR,Brazil
BR,shwealj992,p99p100,1997,0.3637,992,j,BR,Brazil
BR,shwealj992,p99p100,1998,0.3635,992,j,BR,Brazil
BR,shwealj992,p99p100,1999,0.3636,992,j,BR,Brazil
BR,shwealj992,p99p100,2000,0.3637,992,j,BR,Brazil
BR,shwealj992,p99p100,2001,0.3637,992,j,BR,Brazil
BR,shwealj992,p99p100,2002,0.3693,992,j,BR,Brazil
BR,shwealj992,p99p100,2003,0.3661,992,j,BR,Brazil
BR,shwealj992,p99p100,2004,0.3602,992,j,BR,Brazil
BR,shwealj992,p99p100,2005,0.3729,992,j,BR,Brazil
BR,shwealj992,p99p100,2006,0.3728,992,j,BR,Brazil
BR,shwealj992,p99p100,2007,0.3639,992,j,BR,Brazil
BR,shwealj992,p99p100,2008,0.3664,992,j,BR,Brazil
BR,shwealj992,p99p100,2009,0.3644,992,j,BR,Brazil
BR,shwealj992,p99p100,2010,0.3684,992,j,BR,Brazil
BR,shwealj992,p99p100,2011,0.3729,992,j,BR,Brazil
BR,shwealj992,p99p100,2012,0.3678,992,j,BR,Brazil
BR,shwealj992,p99p100,2013,0.3629,992,j,BR,Brazil
BR,shwealj992,p99p100,2014,0.3643,992,j,BR,Brazil
BR,shwealj992,p99p100,2015,0.3712,992,j,BR,Brazil
BR,shwealj992,p99p100,2016,0.3657,992,j,BR,Brazil
BR,shwealj992,p99p100,2017,0.363,992,j,BR,Brazil
BR,shwealj992,p99p100,2018,0.3612,992,j,BR,Brazil
BR,shwealj992,p99p100,2019,0.3571,992,j,BR,Brazil
BR,shwealj992,p99p100,2020,0.37,992,j,BR,Brazil
BR,shwealj992,p99p100,2021,0.3787,992,j,BR,Brazil
BR,shwealj992,p99p100,2022,0.3706,992,j,BR,Brazil
BR,shwealj992,p99p100,2023,0.3669,992,j,BR,Brazil
CN,shwealj992,p99p100,1978,0.158,992,j,CN,China
CN,shwealj992,p99p100,1979,0.158,992,j,CN,China
CN,shwealj992,p99p100,1980,0.158,992,j,CN,China
CN,shwealj992,p99p100,1981,0.158,992,j,CN,China
CN,shwealj992,p99p100,1982,0.158,992,j,CN,China
CN,shwealj992,p99p100,1983,0.158,992,j,CN,China
CN,shwealj992,p99p100,1984,0.158,992,j,CN,China
CN,shwealj992,p99p100,1985,0.158,992,j,CN,China
CN,shwealj992,p99p100,1986,0.158,992,j,CN,China
CN,shwealj992,p99p100,1987,0.158,992,j,CN,China
CN,shwealj992,p99p100,1988,0.158,992,j,CN,China
CN,shwealj992,p99p100,1989,0.158,992,j,CN,China
CN,shwealj992,p99p100,1990,0.158,992,j,CN,China
CN,shwealj992,p99p100,1991,0.158,992,j,CN,China
CN,shwealj992,p99p100,1992,0.158,992,j,CN,China
CN,shwealj992,p99p100,1993,0.158,992,j,CN,China
CN,shwealj992,p99p100,1994,0.158,992,j,CN,China
CN,shwealj992,p99p100,1995,0.1594,992,j,CN,China
CN,shwealj992,p99p100,1996,0.1701,992,j,CN,China
CN,shwealj992,p99p100,1997,0.1792,992,j,CN,China
CN,shwealj992,p99p100,1998,0.1863,992,j,CN,China
CN,shwealj992,p99p100,1999,0.1919,992,j,CN,China
CN,shwealj992,p99p100,2000,0.1965,992,j,CN,China
CN,shwealj992,p99p100,2001,0.2003,992,j,CN,China
CN,shwealj992,p99p100,2002,0.2035,992,j,CN,China
CN,shwealj992,p99p100,2003,0.205,992,j,CN,China
CN,shwealj992,p99p100,2004,0.2245,992,j,CN,China
